Output directory successfully created.
Output directory successfully created.
2023-12-20 19:11:56 : Downloading twitter_stream_2019_02_16.tar
2023-12-20 19:12:24 : Extracting twitter_stream_2019_02_16.tar
2023-12-20 19:13:07 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_16.tar
2023-12-20 19:13:08 : 44.json transferred
2023-12-20 19:13:08 : 56.json transferred
2023-12-20 19:13:09 : 19.json transferred
2023-12-20 19:13:10 : 50.json transferred
2023-12-20 19:13:10 : 05.json transferred
2023-12-20 19:13:11 : 13.json transferred
2023-12-20 19:13:11 : 03.json transferred
2023-12-20 19:13:12 : 11.json transferred
2023-12-20 19:13:12 : 22.json transferred
2023-12-20 19:13:13 : 59.json transferred
2023-12-20 19:13:13 : 16.json transferred
2023-12-20 19:13:14 : 12.json transferred
2023-12-20 19:13:15 : 14.json transferred
2023-12-20 19:13:15 : 33.json transferred
2023-12-20 19:13:16 : 39.json transferred
2023-12-20 19:13:16 : 08.json transferred
2023-12-20 19:13:20 : 41.json transferred
2023-12-20 19:13:20 : 04.json transferred
2023-12-20 19:13:21 : 58.json transferred
2023-12-20 19:13:21 : 45.json transferred
2023-12-20 19:13:22 : 31.json transferred
2023-12-20 19:13:22 : 42.json transferred
2023-12-20 19:13:23 : 10.json transferred
2023-12-20 19:13:23 : 47.json transferred
2023-12-20 19:13:24 : 46.json transferred
2023-12-20 19:13:24 : 26.json transferred
2023-12-20 19:13:25 : 54.json transferred
2023-12-20 19:13:25 : 40.json transferred
2023-12-20 19:13:26 : 23.json transferred
2023-12-20 19:13:27 : 51.json transferred
2023-12-20 19:13:27 : 06.json transferred
2023-12-20 19:13:28 : 32.json transferred
2023-12-20 19:13:28 : 53.json transferred
2023-12-20 19:13:29 : 52.json transferred
2023-12-20 19:13:29 : 48.json transferred
2023-12-20 19:13:30 : 17.json transferred
2023-12-20 19:13:30 : 00.json transferred
2023-12-20 19:13:31 : 25.json transferred
2023-12-20 19:13:31 : 20.json transferred
2023-12-20 19:13:32 : 28.json transferred
2023-12-20 19:13:33 : 02.json transferred
2023-12-20 19:13:33 : 43.json transferred
2023-12-20 19:13:34 : 34.json transferred
2023-12-20 19:13:34 : 27.json transferred
2023-12-20 19:13:35 : 55.json transferred
2023-12-20 19:13:35 : 36.json transferred
2023-12-20 19:13:36 : 38.json transferred
2023-12-20 19:13:36 : 49.json transferred
2023-12-20 19:13:37 : 35.json transferred
2023-12-20 19:13:37 : 07.json transferred
2023-12-20 19:13:38 : 01.json transferred
2023-12-20 19:13:38 : 21.json transferred
2023-12-20 19:13:39 : 57.json transferred
2023-12-20 19:13:39 : 15.json transferred
2023-12-20 19:13:40 : 29.json transferred
2023-12-20 19:13:40 : 30.json transferred
2023-12-20 19:13:41 : 24.json transferred
2023-12-20 19:13:41 : 37.json transferred
2023-12-20 19:13:42 : 09.json transferred
2023-12-20 19:13:42 : 18.json transferred
2023-12-20 19:13:43 : 44.json transferred
2023-12-20 19:13:43 : 56.json transferred
2023-12-20 19:13:44 : 19.json transferred
2023-12-20 19:13:44 : 50.json transferred
2023-12-20 19:13:45 : 05.json transferred
