Output directory successfully created.
Output directory successfully created.
2023-12-20 19:11:50 : Downloading twitter_stream_2019_02_01.tar
2023-12-20 19:11:59 : Extracting twitter_stream_2019_02_01.tar
2023-12-20 19:12:09 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_01.tar
2023-12-20 19:12:09 : 44.json transferred
2023-12-20 19:12:10 : 56.json transferred
2023-12-20 19:12:11 : 19.json transferred
2023-12-20 19:12:11 : 50.json transferred
2023-12-20 19:12:12 : 05.json transferred
2023-12-20 19:12:12 : 13.json transferred
2023-12-20 19:12:13 : 03.json transferred
2023-12-20 19:12:13 : 11.json transferred
2023-12-20 19:12:14 : 22.json transferred
2023-12-20 19:12:14 : 59.json transferred
2023-12-20 19:12:15 : 16.json transferred
2023-12-20 19:12:16 : 12.json transferred
2023-12-20 19:12:16 : 14.json transferred
2023-12-20 19:12:17 : 33.json transferred
2023-12-20 19:12:18 : 39.json transferred
2023-12-20 19:12:18 : 08.json transferred
2023-12-20 19:12:19 : 41.json transferred
2023-12-20 19:12:20 : 04.json transferred
2023-12-20 19:12:21 : 58.json transferred
2023-12-20 19:12:21 : 45.json transferred
2023-12-20 19:12:22 : 31.json transferred
2023-12-20 19:12:22 : 42.json transferred
2023-12-20 19:12:23 : 10.json transferred
2023-12-20 19:12:23 : 47.json transferred
2023-12-20 19:12:24 : 46.json transferred
2023-12-20 19:12:25 : 26.json transferred
2023-12-20 19:12:25 : 54.json transferred
2023-12-20 19:12:25 : 40.json transferred
2023-12-20 19:12:26 : 23.json transferred
2023-12-20 19:12:27 : 51.json transferred
2023-12-20 19:12:27 : 06.json transferred
2023-12-20 19:12:28 : 32.json transferred
2023-12-20 19:12:28 : 53.json transferred
2023-12-20 19:12:29 : 52.json transferred
2023-12-20 19:12:29 : 48.json transferred
2023-12-20 19:12:30 : 17.json transferred
2023-12-20 19:12:30 : 00.json transferred
2023-12-20 19:12:31 : 25.json transferred
2023-12-20 19:12:31 : 20.json transferred
2023-12-20 19:12:32 : 28.json transferred
2023-12-20 19:12:33 : 02.json transferred
2023-12-20 19:12:33 : 43.json transferred
2023-12-20 19:12:34 : 34.json transferred
2023-12-20 19:12:34 : 27.json transferred
2023-12-20 19:12:35 : 55.json transferred
2023-12-20 19:12:35 : 36.json transferred
2023-12-20 19:12:36 : 38.json transferred
2023-12-20 19:12:36 : 49.json transferred
2023-12-20 19:12:37 : 35.json transferred
2023-12-20 19:12:37 : 07.json transferred
2023-12-20 19:12:38 : 01.json transferred
2023-12-20 19:12:39 : 21.json transferred
2023-12-20 19:12:39 : 57.json transferred
2023-12-20 19:12:40 : 15.json transferred
2023-12-20 19:12:40 : 29.json transferred
2023-12-20 19:12:41 : 30.json transferred
2023-12-20 19:12:41 : 24.json transferred
2023-12-20 19:12:42 : 37.json transferred
2023-12-20 19:12:42 : 09.json transferred
2023-12-20 19:12:43 : 18.json transferred
2023-12-20 19:12:44 : 44.json transferred
2023-12-20 19:12:44 : 56.json transferred
2023-12-20 19:12:45 : 19.json transferred
2023-12-20 19:12:45 : 50.json transferred
2023-12-20 19:12:46 : 05.json transferred
2023-12-20 19:12:46 : 13.json transferred
2023-12-20 19:12:47 : 03.json transferred
2023-12-20 19:12:47 : 11.json transferred
2023-12-20 19:12:48 : 22.json transferred
2023-12-20 19:12:48 : 59.json transferred
