Output directory successfully created.
Output directory successfully created.
2023-12-20 19:11:52 : Downloading twitter_stream_2019_02_04.tar
2023-12-20 19:12:18 : Extracting twitter_stream_2019_02_04.tar
2023-12-20 19:12:46 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_04.tar
2023-12-20 19:12:46 : 44.json transferred
2023-12-20 19:12:47 : 56.json transferred
2023-12-20 19:12:48 : 19.json transferred
2023-12-20 19:12:48 : 50.json transferred
2023-12-20 19:12:49 : 05.json transferred
2023-12-20 19:12:49 : 13.json transferred
2023-12-20 19:12:50 : 03.json transferred
2023-12-20 19:12:51 : 11.json transferred
2023-12-20 19:12:51 : 22.json transferred
2023-12-20 19:12:52 : 59.json transferred
2023-12-20 19:12:52 : 16.json transferred
2023-12-20 19:12:53 : 12.json transferred
2023-12-20 19:12:54 : 14.json transferred
2023-12-20 19:12:54 : 33.json transferred
2023-12-20 19:12:55 : 39.json transferred
2023-12-20 19:12:55 : 08.json transferred
2023-12-20 19:12:56 : 41.json transferred
2023-12-20 19:12:57 : 04.json transferred
2023-12-20 19:12:57 : 58.json transferred
2023-12-20 19:12:58 : 45.json transferred
2023-12-20 19:12:58 : 31.json transferred
2023-12-20 19:12:59 : 42.json transferred
2023-12-20 19:13:00 : 10.json transferred
2023-12-20 19:13:00 : 47.json transferred
2023-12-20 19:13:01 : 46.json transferred
2023-12-20 19:13:01 : 26.json transferred
2023-12-20 19:13:02 : 54.json transferred
2023-12-20 19:13:03 : 40.json transferred
2023-12-20 19:13:03 : 23.json transferred
2023-12-20 19:13:04 : 51.json transferred
2023-12-20 19:13:04 : 06.json transferred
2023-12-20 19:13:05 : 32.json transferred
2023-12-20 19:13:06 : 53.json transferred
2023-12-20 19:13:06 : 52.json transferred
2023-12-20 19:13:07 : 48.json transferred
2023-12-20 19:13:07 : 17.json transferred
2023-12-20 19:13:08 : 00.json transferred
2023-12-20 19:13:09 : 25.json transferred
2023-12-20 19:13:09 : 20.json transferred
2023-12-20 19:13:10 : 28.json transferred
2023-12-20 19:13:10 : 02.json transferred
2023-12-20 19:13:11 : 43.json transferred
2023-12-20 19:13:11 : 34.json transferred
2023-12-20 19:13:12 : 27.json transferred
2023-12-20 19:13:13 : 55.json transferred
2023-12-20 19:13:13 : 36.json transferred
2023-12-20 19:13:14 : 38.json transferred
2023-12-20 19:13:14 : 49.json transferred
2023-12-20 19:13:15 : 35.json transferred
2023-12-20 19:13:16 : 07.json transferred
2023-12-20 19:13:16 : 01.json transferred
2023-12-20 19:13:17 : 21.json transferred
