Output directory successfully created.
Output directory successfully created.
2023-12-14 21:45:01 : Downloading twitter_stream_2019_01_20.tar
2023-12-14 21:45:30 : Extracting twitter_stream_2019_01_20.tar
2023-12-14 21:46:00 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_01_20.tar
2023-12-14 21:46:01 : 49.json.bz2 transferred
2023-12-14 21:46:01 : 56.json.bz2 transferred
2023-12-14 21:46:02 : 16.json.bz2 transferred
2023-12-14 21:46:03 : 02.json.bz2 transferred
2023-12-14 21:46:03 : 06.json.bz2 transferred
2023-12-14 21:46:04 : 28.json.bz2 transferred
2023-12-14 21:46:04 : 26.json.bz2 transferred
2023-12-14 21:46:05 : 51.json.bz2 transferred
2023-12-14 21:46:06 : 29.json.bz2 transferred
2023-12-14 21:46:06 : 08.json.bz2 transferred
2023-12-14 21:46:07 : 57.json.bz2 transferred
2023-12-14 21:46:08 : 12.json.bz2 transferred
2023-12-14 21:46:08 : 59.json.bz2 transferred
2023-12-14 21:46:09 : 38.json.bz2 transferred
2023-12-14 21:46:10 : 34.json.bz2 transferred
2023-12-14 21:46:10 : 55.json.bz2 transferred
2023-12-14 21:46:11 : 13.json.bz2 transferred
2023-12-14 21:46:12 : 22.json.bz2 transferred
2023-12-14 21:46:12 : 18.json.bz2 transferred
2023-12-14 21:46:13 : 04.json.bz2 transferred
2023-12-14 21:46:13 : 05.json.bz2 transferred
2023-12-14 21:46:14 : 20.json.bz2 transferred
2023-12-14 21:46:15 : 43.json.bz2 transferred
2023-12-14 21:46:15 : 36.json.bz2 transferred
2023-12-14 21:46:16 : 19.json.bz2 transferred
2023-12-14 21:46:17 : 48.json.bz2 transferred
2023-12-14 21:46:17 : 58.json.bz2 transferred
2023-12-14 21:46:18 : 32.json.bz2 transferred
2023-12-14 21:46:19 : 39.json.bz2 transferred
2023-12-14 21:46:19 : 01.json.bz2 transferred
2023-12-14 21:46:20 : 31.json.bz2 transferred
2023-12-14 21:46:21 : 23.json.bz2 transferred
2023-12-14 21:46:21 : 40.json.bz2 transferred
2023-12-14 21:46:22 : 54.json.bz2 transferred
2023-12-14 21:46:23 : 07.json.bz2 transferred
2023-12-14 21:46:23 : 45.json.bz2 transferred
2023-12-14 21:46:24 : 53.json.bz2 transferred
2023-12-14 21:46:25 : 46.json.bz2 transferred
2023-12-14 21:46:25 : 11.json.bz2 transferred
2023-12-14 21:46:26 : 24.json.bz2 transferred
2023-12-14 21:46:27 : 44.json.bz2 transferred
2023-12-14 21:46:27 : 00.json.bz2 transferred
2023-12-14 21:46:28 : 50.json.bz2 transferred
2023-12-14 21:46:29 : 41.json.bz2 transferred
2023-12-14 21:46:29 : 14.json.bz2 transferred
2023-12-14 21:46:30 : 35.json.bz2 transferred
2023-12-14 21:46:31 : 15.json.bz2 transferred
2023-12-14 21:46:31 : 10.json.bz2 transferred
2023-12-14 21:46:32 : 25.json.bz2 transferred
2023-12-14 21:46:32 : 37.json.bz2 transferred
2023-12-14 21:46:33 : 03.json.bz2 transferred
2023-12-14 21:46:34 : 17.json.bz2 transferred
2023-12-14 21:46:34 : 27.json.bz2 transferred
2023-12-14 21:46:35 : 09.json.bz2 transferred
2023-12-14 21:46:36 : 30.json.bz2 transferred
2023-12-14 21:46:37 : 33.json.bz2 transferred
2023-12-14 21:46:37 : 21.json.bz2 transferred
2023-12-14 21:46:38 : 42.json.bz2 transferred
2023-12-14 21:46:39 : 52.json.bz2 transferred
2023-12-14 21:46:39 : 47.json.bz2 transferred
2023-12-14 21:46:40 : 49.json.bz2 transferred
2023-12-14 21:46:40 : 56.json.bz2 transferred
2023-12-14 21:46:41 : 51.json.bz2 transferred
2023-12-14 21:46:41 : 29.json.bz2 transferred
2023-12-14 21:46:42 : 57.json.bz2 transferred
2023-12-14 21:46:42 : 59.json.bz2 transferred
2023-12-14 21:46:43 : 38.json.bz2 transferred
2023-12-14 21:46:43 : 34.json.bz2 transferred
2023-12-14 21:46:44 : 55.json.bz2 transferred
2023-12-14 21:46:44 : 43.json.bz2 transferred
2023-12-14 21:46:45 : 36.json.bz2 transferred
2023-12-14 21:46:45 : 48.json.bz2 transferred
2023-12-14 21:46:46 : 58.json.bz2 transferred
