Output directory successfully created.
Output directory successfully created.
2023-12-20 19:11:53 : Downloading twitter_stream_2019_02_07.tar
2023-12-20 19:12:25 : Extracting twitter_stream_2019_02_07.tar
2023-12-20 19:13:11 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_07.tar
2023-12-20 19:13:12 : 44.json transferred
2023-12-20 19:13:12 : 56.json transferred
2023-12-20 19:13:13 : 19.json transferred
2023-12-20 19:13:14 : 50.json transferred
2023-12-20 19:13:14 : 05.json transferred
2023-12-20 19:13:15 : 13.json transferred
2023-12-20 19:13:16 : 03.json transferred
2023-12-20 19:13:16 : 11.json transferred
2023-12-20 19:13:17 : 22.json transferred
2023-12-20 19:13:18 : 59.json transferred
2023-12-20 19:13:18 : 16.json transferred
2023-12-20 19:13:19 : 12.json transferred
2023-12-20 19:13:19 : 14.json transferred
2023-12-20 19:13:20 : 33.json transferred
2023-12-20 19:13:21 : 39.json transferred
2023-12-20 19:13:21 : 08.json transferred
2023-12-20 19:13:22 : 41.json transferred
2023-12-20 19:13:23 : 04.json transferred
2023-12-20 19:13:23 : 58.json transferred
2023-12-20 19:13:24 : 45.json transferred
2023-12-20 19:13:25 : 31.json transferred
2023-12-20 19:13:25 : 42.json transferred
2023-12-20 19:13:26 : 10.json transferred
2023-12-20 19:13:27 : 47.json transferred
2023-12-20 19:13:27 : 46.json transferred
2023-12-20 19:13:28 : 26.json transferred
2023-12-20 19:13:29 : 54.json transferred
2023-12-20 19:13:29 : 40.json transferred
2023-12-20 19:13:30 : 23.json transferred
2023-12-20 19:13:30 : 51.json transferred
2023-12-20 19:13:31 : 06.json transferred
2023-12-20 19:13:32 : 32.json transferred
2023-12-20 19:13:32 : 53.json transferred
2023-12-20 19:13:33 : 52.json transferred
2023-12-20 19:13:34 : 48.json transferred
2023-12-20 19:13:36 : 17.json transferred
2023-12-20 19:13:37 : 00.json transferred
2023-12-20 19:13:37 : 25.json transferred
2023-12-20 19:13:38 : 20.json transferred
2023-12-20 19:13:39 : 28.json transferred
2023-12-20 19:13:39 : 02.json transferred
2023-12-20 19:13:40 : 43.json transferred
2023-12-20 19:13:41 : 34.json transferred
2023-12-20 19:13:41 : 27.json transferred
2023-12-20 19:13:42 : 55.json transferred
2023-12-20 19:13:43 : 36.json transferred
2023-12-20 19:13:43 : 38.json transferred
2023-12-20 19:13:44 : 49.json transferred
2023-12-20 19:13:45 : 35.json transferred
2023-12-20 19:13:45 : 07.json transferred
2023-12-20 19:13:46 : 01.json transferred
2023-12-20 19:13:47 : 21.json transferred
2023-12-20 19:13:47 : 57.json transferred
2023-12-20 19:13:48 : 15.json transferred
2023-12-20 19:13:49 : 29.json transferred
2023-12-20 19:13:49 : 30.json transferred
2023-12-20 19:13:50 : 24.json transferred
2023-12-20 19:13:51 : 37.json transferred
2023-12-20 19:13:51 : 09.json transferred
2023-12-20 19:13:52 : 18.json transferred
2023-12-20 19:13:52 : 44.json transferred
2023-12-20 19:13:53 : 56.json transferred
2023-12-20 19:13:54 : 19.json transferred
2023-12-20 19:13:54 : 50.json transferred
2023-12-20 19:13:55 : 05.json transferred
2023-12-20 19:13:56 : 13.json transferred
2023-12-20 19:13:56 : 03.json transferred
2023-12-20 19:13:57 : 11.json transferred
2023-12-20 19:13:57 : 22.json transferred
2023-12-20 19:13:58 : 59.json transferred
2023-12-20 19:13:59 : 16.json transferred
2023-12-20 19:13:59 : 12.json transferred
2023-12-20 19:14:00 : 14.json transferred
2023-12-20 19:14:00 : 33.json transferred
2023-12-20 19:14:01 : 39.json transferred
2023-12-20 19:14:02 : 08.json transferred
2023-12-20 19:14:02 : 41.json transferred
2023-12-20 19:14:03 : 04.json transferred
2023-12-20 19:14:03 : 58.json transferred
2023-12-20 19:14:04 : 45.json transferred
2023-12-20 19:14:05 : 31.json transferred
2023-12-20 19:14:05 : 42.json transferred
2023-12-20 19:14:06 : 10.json transferred
2023-12-20 19:14:06 : 47.json transferred
2023-12-20 19:14:07 : 46.json transferred
2023-12-20 19:14:08 : 26.json transferred
2023-12-20 19:14:08 : 54.json transferred
2023-12-20 19:14:09 : 40.json transferred
2023-12-20 19:14:09 : 23.json transferred
2023-12-20 19:14:10 : 51.json transferred
2023-12-20 19:14:11 : 06.json transferred
2023-12-20 19:14:11 : 32.json transferred
2023-12-20 19:14:12 : 53.json transferred
2023-12-20 19:14:12 : 52.json transferred
2023-12-20 19:14:13 : 48.json transferred
2023-12-20 19:14:13 : 17.json transferred
2023-12-20 19:14:14 : 00.json transferred
2023-12-20 19:14:15 : 25.json transferred
2023-12-20 19:14:15 : 20.json transferred
2023-12-20 19:14:16 : 28.json transferred
2023-12-20 19:14:17 : 02.json transferred
2023-12-20 19:14:17 : 43.json transferred
2023-12-20 19:14:18 : 34.json transferred
2023-12-20 19:14:18 : 27.json transferred
2023-12-20 19:14:19 : 55.json transferred
2023-12-20 19:14:19 : 36.json transferred
2023-12-20 19:14:20 : 38.json transferred
2023-12-20 19:14:20 : 49.json transferred
2023-12-20 19:14:21 : 35.json transferred
2023-12-20 19:14:21 : 07.json transferred
2023-12-20 19:14:22 : 01.json transferred
2023-12-20 19:14:22 : 21.json transferred
2023-12-20 19:14:23 : 57.json transferred
2023-12-20 19:14:23 : 15.json transferred
2023-12-20 19:14:24 : 29.json transferred
2023-12-20 19:14:24 : 30.json transferred
2023-12-20 19:14:25 : 24.json transferred
2023-12-20 19:14:25 : 37.json transferred
2023-12-20 19:14:26 : 09.json transferred
2023-12-20 19:14:26 : 18.json transferred
2023-12-20 19:14:27 : 44.json transferred
2023-12-20 19:14:28 : 56.json transferred
2023-12-20 19:14:29 : 19.json transferred
2023-12-20 19:14:30 : 50.json transferred
2023-12-20 19:14:31 : 05.json transferred
2023-12-20 19:14:32 : 13.json transferred
2023-12-20 19:14:32 : 03.json transferred
2023-12-20 19:14:33 : 11.json transferred
2023-12-20 19:14:34 : 22.json transferred
2023-12-20 19:14:35 : 59.json transferred
2023-12-20 19:14:36 : 16.json transferred
2023-12-20 19:14:37 : 12.json transferred
2023-12-20 19:14:37 : 14.json transferred
2023-12-20 19:14:38 : 33.json transferred
2023-12-20 19:14:39 : 39.json transferred
2023-12-20 19:14:40 : 08.json transferred
2023-12-20 19:14:41 : 41.json transferred
2023-12-20 19:14:42 : 04.json transferred
2023-12-20 19:14:43 : 58.json transferred
2023-12-20 19:14:43 : 45.json transferred
2023-12-20 19:14:44 : 31.json transferred
2023-12-20 19:14:45 : 42.json transferred
2023-12-20 19:14:46 : 10.json transferred
2023-12-20 19:14:47 : 47.json transferred
2023-12-20 19:14:47 : 46.json transferred
2023-12-20 19:14:48 : 26.json transferred
2023-12-20 19:14:49 : 54.json transferred
2023-12-20 19:14:50 : 40.json transferred
2023-12-20 19:14:51 : 23.json transferred
2023-12-20 19:14:51 : 51.json transferred
2023-12-20 19:14:52 : 06.json transferred
2023-12-20 19:14:53 : 32.json transferred
2023-12-20 19:14:54 : 53.json transferred
2023-12-20 19:14:55 : 52.json transferred
2023-12-20 19:14:55 : 48.json transferred
2023-12-20 19:14:56 : 17.json transferred
2023-12-20 19:14:57 : 00.json transferred
2023-12-20 19:14:58 : 25.json transferred
2023-12-20 19:14:59 : 20.json transferred
2023-12-20 19:14:59 : 28.json transferred
2023-12-20 19:15:00 : 02.json transferred
2023-12-20 19:15:01 : 43.json transferred
2023-12-20 19:15:02 : 34.json transferred
2023-12-20 19:15:03 : 27.json transferred
2023-12-20 19:15:04 : 55.json transferred
2023-12-20 19:15:04 : 36.json transferred
2023-12-20 19:15:05 : 38.json transferred
2023-12-20 19:15:06 : 49.json transferred
2023-12-20 19:15:07 : 35.json transferred
2023-12-20 19:15:08 : 07.json transferred
2023-12-20 19:15:09 : 01.json transferred
2023-12-20 19:15:10 : 21.json transferred
2023-12-20 19:15:10 : 57.json transferred
2023-12-20 19:15:11 : 15.json transferred
2023-12-20 19:15:12 : 29.json transferred
2023-12-20 19:15:13 : 30.json transferred
2023-12-20 19:15:14 : 24.json transferred
2023-12-20 19:15:15 : 37.json transferred
2023-12-20 19:15:16 : 09.json transferred
2023-12-20 19:15:17 : 18.json transferred
2023-12-20 19:15:17 : 44.json transferred
2023-12-20 19:15:18 : 56.json transferred
2023-12-20 19:15:19 : 19.json transferred
2023-12-20 19:15:19 : 50.json transferred
2023-12-20 19:15:20 : 05.json transferred
2023-12-20 19:15:21 : 13.json transferred
2023-12-20 19:15:21 : 03.json transferred
2023-12-20 19:15:22 : 11.json transferred
2023-12-20 19:15:23 : 22.json transferred
2023-12-20 19:15:23 : 59.json transferred
2023-12-20 19:15:24 : 16.json transferred
2023-12-20 19:15:25 : 12.json transferred
2023-12-20 19:15:25 : 14.json transferred
2023-12-20 19:15:26 : 33.json transferred
2023-12-20 19:15:27 : 39.json transferred
2023-12-20 19:15:27 : 08.json transferred
2023-12-20 19:15:28 : 41.json transferred
2023-12-20 19:15:29 : 04.json transferred
2023-12-20 19:15:29 : 58.json transferred
2023-12-20 19:15:30 : 45.json transferred
2023-12-20 19:15:31 : 31.json transferred
2023-12-20 19:15:31 : 42.json transferred
2023-12-20 19:15:32 : 10.json transferred
2023-12-20 19:15:33 : 47.json transferred
2023-12-20 19:15:33 : 46.json transferred
2023-12-20 19:15:34 : 26.json transferred
2023-12-20 19:15:34 : 54.json transferred
2023-12-20 19:15:35 : 40.json transferred
2023-12-20 19:15:36 : 23.json transferred
2023-12-20 19:15:36 : 51.json transferred
2023-12-20 19:15:37 : 06.json transferred
2023-12-20 19:15:38 : 32.json transferred
2023-12-20 19:15:38 : 53.json transferred
2023-12-20 19:15:39 : 52.json transferred
2023-12-20 19:15:39 : 48.json transferred
2023-12-20 19:15:40 : 17.json transferred
2023-12-20 19:15:41 : 00.json transferred
2023-12-20 19:15:41 : 25.json transferred
2023-12-20 19:15:42 : 20.json transferred
2023-12-20 19:15:43 : 28.json transferred
2023-12-20 19:15:43 : 02.json transferred
2023-12-20 19:15:44 : 43.json transferred
2023-12-20 19:15:45 : 34.json transferred
2023-12-20 19:15:45 : 27.json transferred
2023-12-20 19:15:46 : 55.json transferred
2023-12-20 19:15:46 : 36.json transferred
2023-12-20 19:15:47 : 38.json transferred
2023-12-20 19:15:48 : 49.json transferred
2023-12-20 19:15:48 : 35.json transferred
2023-12-20 19:15:49 : 07.json transferred
2023-12-20 19:15:50 : 01.json transferred
2023-12-20 19:15:50 : 21.json transferred
2023-12-20 19:15:51 : 57.json transferred
2023-12-20 19:15:52 : 15.json transferred
2023-12-20 19:15:52 : 29.json transferred
2023-12-20 19:15:53 : 30.json transferred
2023-12-20 19:15:53 : 24.json transferred
2023-12-20 19:15:54 : 37.json transferred
2023-12-20 19:15:55 : 09.json transferred
2023-12-20 19:15:55 : 18.json transferred
2023-12-20 19:15:56 : 44.json transferred
2023-12-20 19:15:57 : 56.json transferred
2023-12-20 19:15:58 : 19.json transferred
2023-12-20 19:15:58 : 50.json transferred
2023-12-20 19:15:59 : 05.json transferred
2023-12-20 19:16:00 : 13.json transferred
2023-12-20 19:16:00 : 03.json transferred
2023-12-20 19:16:01 : 11.json transferred
2023-12-20 19:16:02 : 22.json transferred
2023-12-20 19:16:03 : 59.json transferred
2023-12-20 19:16:03 : 16.json transferred
2023-12-20 19:16:04 : 12.json transferred
2023-12-20 19:16:05 : 14.json transferred
2023-12-20 19:16:06 : 33.json transferred
2023-12-20 19:16:06 : 39.json transferred
2023-12-20 19:16:07 : 08.json transferred
2023-12-20 19:16:08 : 41.json transferred
2023-12-20 19:16:09 : 04.json transferred
2023-12-20 19:16:10 : 58.json transferred
2023-12-20 19:16:10 : 45.json transferred
2023-12-20 19:16:11 : 31.json transferred
2023-12-20 19:16:12 : 42.json transferred
2023-12-20 19:16:12 : 10.json transferred
2023-12-20 19:16:13 : 47.json transferred
2023-12-20 19:16:14 : 46.json transferred
2023-12-20 19:16:14 : 26.json transferred
2023-12-20 19:16:15 : 54.json transferred
2023-12-20 19:16:16 : 40.json transferred
2023-12-20 19:16:16 : 23.json transferred
2023-12-20 19:16:17 : 51.json transferred
2023-12-20 19:16:18 : 06.json transferred
2023-12-20 19:16:19 : 32.json transferred
2023-12-20 19:16:19 : 53.json transferred
2023-12-20 19:16:20 : 52.json transferred
2023-12-20 19:16:21 : 48.json transferred
2023-12-20 19:16:21 : 17.json transferred
2023-12-20 19:16:22 : 00.json transferred
2023-12-20 19:16:23 : 25.json transferred
2023-12-20 19:16:24 : 20.json transferred
2023-12-20 19:16:24 : 28.json transferred
2023-12-20 19:16:25 : 02.json transferred
2023-12-20 19:16:26 : 43.json transferred
2023-12-20 19:16:26 : 34.json transferred
2023-12-20 19:16:27 : 27.json transferred
2023-12-20 19:16:28 : 55.json transferred
2023-12-20 19:16:29 : 36.json transferred
2023-12-20 19:16:30 : 38.json transferred
2023-12-20 19:16:30 : 49.json transferred
2023-12-20 19:16:31 : 35.json transferred
2023-12-20 19:16:32 : 07.json transferred
2023-12-20 19:16:32 : 01.json transferred
2023-12-20 19:16:33 : 21.json transferred
2023-12-20 19:16:34 : 57.json transferred
2023-12-20 19:16:34 : 15.json transferred
2023-12-20 19:16:35 : 29.json transferred
2023-12-20 19:16:36 : 30.json transferred
2023-12-20 19:16:36 : 24.json transferred
2023-12-20 19:16:37 : 37.json transferred
2023-12-20 19:16:38 : 09.json transferred
2023-12-20 19:16:38 : 18.json transferred
2023-12-20 19:16:39 : 44.json transferred
2023-12-20 19:16:40 : 56.json transferred
2023-12-20 19:16:40 : 19.json transferred
2023-12-20 19:16:41 : 50.json transferred
2023-12-20 19:16:41 : 05.json transferred
2023-12-20 19:16:42 : 13.json transferred
2023-12-20 19:16:43 : 03.json transferred
2023-12-20 19:16:43 : 11.json transferred
2023-12-20 19:16:44 : 22.json transferred
2023-12-20 19:16:44 : 59.json transferred
2023-12-20 19:16:45 : 16.json transferred
2023-12-20 19:16:45 : 12.json transferred
2023-12-20 19:16:46 : 14.json transferred
2023-12-20 19:16:46 : 33.json transferred
2023-12-20 19:16:47 : 39.json transferred
2023-12-20 19:16:47 : 08.json transferred
2023-12-20 19:16:48 : 41.json transferred
2023-12-20 19:16:49 : 04.json transferred
2023-12-20 19:16:49 : 58.json transferred
2023-12-20 19:16:50 : 45.json transferred
2023-12-20 19:16:50 : 31.json transferred
2023-12-20 19:16:51 : 42.json transferred
2023-12-20 19:16:51 : 10.json transferred
2023-12-20 19:16:52 : 47.json transferred
2023-12-20 19:16:52 : 46.json transferred
2023-12-20 19:16:53 : 26.json transferred
2023-12-20 19:16:54 : 54.json transferred
2023-12-20 19:16:54 : 40.json transferred
2023-12-20 19:16:55 : 23.json transferred
2023-12-20 19:16:55 : 51.json transferred
2023-12-20 19:16:56 : 06.json transferred
2023-12-20 19:16:56 : 32.json transferred
2023-12-20 19:16:57 : 53.json transferred
2023-12-20 19:16:57 : 52.json transferred
2023-12-20 19:16:58 : 48.json transferred
2023-12-20 19:16:58 : 17.json transferred
2023-12-20 19:16:59 : 00.json transferred
2023-12-20 19:16:59 : 25.json transferred
2023-12-20 19:17:00 : 20.json transferred
2023-12-20 19:17:00 : 28.json transferred
2023-12-20 19:17:01 : 02.json transferred
2023-12-20 19:17:02 : 43.json transferred
2023-12-20 19:17:02 : 34.json transferred
2023-12-20 19:17:03 : 27.json transferred
2023-12-20 19:17:03 : 55.json transferred
2023-12-20 19:17:04 : 36.json transferred
2023-12-20 19:17:04 : 38.json transferred
2023-12-20 19:17:05 : 49.json transferred
2023-12-20 19:17:06 : 35.json transferred
2023-12-20 19:17:06 : 07.json transferred
2023-12-20 19:17:07 : 01.json transferred
2023-12-20 19:17:07 : 21.json transferred
2023-12-20 19:17:08 : 57.json transferred
2023-12-20 19:17:08 : 15.json transferred
2023-12-20 19:17:09 : 29.json transferred
2023-12-20 19:17:09 : 30.json transferred
2023-12-20 19:17:10 : 24.json transferred
2023-12-20 19:17:11 : 37.json transferred
