Output directory successfully created.
Output directory successfully created.
2023-12-14 21:45:05 : Downloading twitter_stream_2019_01_24.tar
2023-12-14 21:45:34 : Extracting twitter_stream_2019_01_24.tar
2023-12-14 21:46:05 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_01_24.tar
2023-12-14 21:46:06 : 49.json.bz2 transferred
2023-12-14 21:46:06 : 56.json.bz2 transferred
2023-12-14 21:46:07 : 16.json.bz2 transferred
2023-12-14 21:46:08 : 02.json.bz2 transferred
2023-12-14 21:46:09 : 06.json.bz2 transferred
2023-12-14 21:46:09 : 28.json.bz2 transferred
2023-12-14 21:46:10 : 26.json.bz2 transferred
2023-12-14 21:46:11 : 51.json.bz2 transferred
2023-12-14 21:46:11 : 29.json.bz2 transferred
2023-12-14 21:46:12 : 08.json.bz2 transferred
2023-12-14 21:46:13 : 57.json.bz2 transferred
2023-12-14 21:46:14 : 12.json.bz2 transferred
2023-12-14 21:46:14 : 59.json.bz2 transferred
2023-12-14 21:46:15 : 38.json.bz2 transferred
2023-12-14 21:46:16 : 34.json.bz2 transferred
2023-12-14 21:46:16 : 55.json.bz2 transferred
2023-12-14 21:46:17 : 13.json.bz2 transferred
2023-12-14 21:46:18 : 22.json.bz2 transferred
2023-12-14 21:46:19 : 18.json.bz2 transferred
2023-12-14 21:46:19 : 04.json.bz2 transferred
2023-12-14 21:46:20 : 05.json.bz2 transferred
2023-12-14 21:46:21 : 20.json.bz2 transferred
2023-12-14 21:46:21 : 43.json.bz2 transferred
2023-12-14 21:46:22 : 36.json.bz2 transferred
2023-12-14 21:46:25 : 19.json.bz2 transferred
2023-12-14 21:46:26 : 48.json.bz2 transferred
2023-12-14 21:46:26 : 58.json.bz2 transferred
2023-12-14 21:46:27 : 32.json.bz2 transferred
2023-12-14 21:46:28 : 39.json.bz2 transferred
2023-12-14 21:46:28 : 01.json.bz2 transferred
2023-12-14 21:46:29 : 31.json.bz2 transferred
2023-12-14 21:46:30 : 23.json.bz2 transferred
2023-12-14 21:46:31 : 40.json.bz2 transferred
2023-12-14 21:46:31 : 54.json.bz2 transferred
2023-12-14 21:46:32 : 07.json.bz2 transferred
2023-12-14 21:46:33 : 45.json.bz2 transferred
2023-12-14 21:46:33 : 53.json.bz2 transferred
2023-12-14 21:46:34 : 46.json.bz2 transferred
2023-12-14 21:46:35 : 11.json.bz2 transferred
2023-12-14 21:46:36 : 24.json.bz2 transferred
2023-12-14 21:46:36 : 44.json.bz2 transferred
