Output directory successfully created.
Output directory successfully created.
2023-12-20 19:11:58 : Downloading twitter_stream_2019_02_19.tar
2023-12-20 19:12:27 : Extracting twitter_stream_2019_02_19.tar
2023-12-20 19:12:57 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_19.tar
2023-12-20 19:12:58 : 44.json transferred
2023-12-20 19:12:58 : 56.json transferred
2023-12-20 19:12:59 : 19.json transferred
2023-12-20 19:13:00 : 50.json transferred
2023-12-20 19:13:00 : 05.json transferred
2023-12-20 19:13:01 : 13.json transferred
2023-12-20 19:13:02 : 03.json transferred
2023-12-20 19:13:02 : 11.json transferred
2023-12-20 19:13:03 : 22.json transferred
2023-12-20 19:13:03 : 59.json transferred
2023-12-20 19:13:04 : 16.json transferred
2023-12-20 19:13:04 : 12.json transferred
2023-12-20 19:13:05 : 14.json transferred
2023-12-20 19:13:06 : 33.json transferred
2023-12-20 19:13:06 : 39.json transferred
2023-12-20 19:13:07 : 08.json transferred
2023-12-20 19:13:07 : 41.json transferred
2023-12-20 19:13:08 : 04.json transferred
2023-12-20 19:13:09 : 58.json transferred
2023-12-20 19:13:09 : 45.json transferred
2023-12-20 19:13:10 : 31.json transferred
2023-12-20 19:13:11 : 42.json transferred
2023-12-20 19:13:11 : 10.json transferred
2023-12-20 19:13:12 : 47.json transferred
2023-12-20 19:13:12 : 46.json transferred
2023-12-20 19:13:13 : 26.json transferred
2023-12-20 19:13:14 : 54.json transferred
2023-12-20 19:13:14 : 40.json transferred
2023-12-20 19:13:15 : 23.json transferred
2023-12-20 19:13:15 : 51.json transferred
2023-12-20 19:13:16 : 06.json transferred
2023-12-20 19:13:17 : 32.json transferred
2023-12-20 19:13:17 : 53.json transferred
2023-12-20 19:13:18 : 52.json transferred
2023-12-20 19:13:19 : 48.json transferred
2023-12-20 19:13:19 : 17.json transferred
2023-12-20 19:13:20 : 00.json transferred
2023-12-20 19:13:20 : 25.json transferred
2023-12-20 19:13:21 : 20.json transferred
2023-12-20 19:13:22 : 28.json transferred
2023-12-20 19:13:22 : 02.json transferred
2023-12-20 19:13:23 : 43.json transferred
2023-12-20 19:13:23 : 34.json transferred
2023-12-20 19:13:24 : 27.json transferred
2023-12-20 19:13:25 : 55.json transferred
2023-12-20 19:13:25 : 36.json transferred
2023-12-20 19:13:26 : 38.json transferred
2023-12-20 19:13:26 : 49.json transferred
2023-12-20 19:13:28 : 35.json transferred
2023-12-20 19:13:28 : 07.json transferred
2023-12-20 19:13:29 : 01.json transferred
2023-12-20 19:13:30 : 21.json transferred
2023-12-20 19:13:30 : 57.json transferred
2023-12-20 19:13:31 : 15.json transferred
2023-12-20 19:13:32 : 29.json transferred
2023-12-20 19:13:32 : 30.json transferred
2023-12-20 19:13:33 : 24.json transferred
2023-12-20 19:13:33 : 37.json transferred
2023-12-20 19:13:34 : 09.json transferred
2023-12-20 19:13:35 : 18.json transferred
2023-12-20 19:13:35 : 44.json transferred
2023-12-20 19:13:36 : 56.json transferred
2023-12-20 19:13:36 : 19.json transferred
2023-12-20 19:13:37 : 50.json transferred
2023-12-20 19:13:37 : 05.json transferred
2023-12-20 19:13:38 : 13.json transferred
2023-12-20 19:13:38 : 03.json transferred
2023-12-20 19:13:39 : 11.json transferred
2023-12-20 19:13:40 : 22.json transferred
2023-12-20 19:13:40 : 59.json transferred
2023-12-20 19:13:41 : 16.json transferred
