Output directory successfully created.
Output directory successfully created.
2023-12-14 21:44:58 : Downloading twitter_stream_2019_01_16.tar
2023-12-14 21:45:26 : Extracting twitter_stream_2019_01_16.tar
2023-12-14 21:45:56 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_01_16.tar
2023-12-14 21:45:57 : 49.json.bz2 transferred
2023-12-14 21:45:57 : 56.json.bz2 transferred
2023-12-14 21:45:58 : 16.json.bz2 transferred
2023-12-14 21:45:59 : 02.json.bz2 transferred
2023-12-14 21:46:00 : 06.json.bz2 transferred
2023-12-14 21:46:00 : 28.json.bz2 transferred
2023-12-14 21:46:01 : 26.json.bz2 transferred
2023-12-14 21:46:02 : 51.json.bz2 transferred
2023-12-14 21:46:02 : 29.json.bz2 transferred
2023-12-14 21:46:03 : 08.json.bz2 transferred
2023-12-14 21:46:04 : 57.json.bz2 transferred
2023-12-14 21:46:04 : 12.json.bz2 transferred
2023-12-14 21:46:05 : 59.json.bz2 transferred
2023-12-14 21:46:06 : 38.json.bz2 transferred
2023-12-14 21:46:06 : 34.json.bz2 transferred
2023-12-14 21:46:07 : 55.json.bz2 transferred
2023-12-14 21:46:08 : 13.json.bz2 transferred
2023-12-14 21:46:08 : 22.json.bz2 transferred
2023-12-14 21:46:09 : 18.json.bz2 transferred
2023-12-14 21:46:10 : 04.json.bz2 transferred
2023-12-14 21:46:10 : 05.json.bz2 transferred
2023-12-14 21:46:11 : 20.json.bz2 transferred
2023-12-14 21:46:12 : 43.json.bz2 transferred
2023-12-14 21:46:13 : 36.json.bz2 transferred
2023-12-14 21:46:13 : 19.json.bz2 transferred
2023-12-14 21:46:14 : 48.json.bz2 transferred
2023-12-14 21:46:15 : 58.json.bz2 transferred
2023-12-14 21:46:15 : 32.json.bz2 transferred
2023-12-14 21:46:16 : 39.json.bz2 transferred
2023-12-14 21:46:17 : 01.json.bz2 transferred
2023-12-14 21:46:18 : 31.json.bz2 transferred
2023-12-14 21:46:18 : 23.json.bz2 transferred
2023-12-14 21:46:19 : 40.json.bz2 transferred
2023-12-14 21:46:20 : 54.json.bz2 transferred
2023-12-14 21:46:20 : 07.json.bz2 transferred
2023-12-14 21:46:21 : 45.json.bz2 transferred
2023-12-14 21:46:22 : 53.json.bz2 transferred
2023-12-14 21:46:23 : 46.json.bz2 transferred
2023-12-14 21:46:23 : 11.json.bz2 transferred
2023-12-14 21:46:24 : 24.json.bz2 transferred
2023-12-14 21:46:25 : 44.json.bz2 transferred
2023-12-14 21:46:25 : 00.json.bz2 transferred
2023-12-14 21:46:26 : 50.json.bz2 transferred
2023-12-14 21:46:27 : 41.json.bz2 transferred
2023-12-14 21:46:27 : 14.json.bz2 transferred
2023-12-14 21:46:28 : 35.json.bz2 transferred
2023-12-14 21:46:29 : 15.json.bz2 transferred
2023-12-14 21:46:29 : 10.json.bz2 transferred
2023-12-14 21:46:30 : 25.json.bz2 transferred
2023-12-14 21:46:31 : 37.json.bz2 transferred
2023-12-14 21:46:31 : 03.json.bz2 transferred
2023-12-14 21:46:32 : 17.json.bz2 transferred
2023-12-14 21:46:33 : 27.json.bz2 transferred
2023-12-14 21:46:33 : 09.json.bz2 transferred
2023-12-14 21:46:34 : 30.json.bz2 transferred
2023-12-14 21:46:35 : 33.json.bz2 transferred
2023-12-14 21:46:36 : 21.json.bz2 transferred
2023-12-14 21:46:36 : 42.json.bz2 transferred
2023-12-14 21:46:37 : 52.json.bz2 transferred
2023-12-14 21:46:38 : 47.json.bz2 transferred
2023-12-14 21:46:38 : 49.json.bz2 transferred
2023-12-14 21:46:39 : 56.json.bz2 transferred
2023-12-14 21:46:39 : 51.json.bz2 transferred
2023-12-14 21:46:40 : 29.json.bz2 transferred
2023-12-14 21:46:40 : 57.json.bz2 transferred
2023-12-14 21:46:41 : 59.json.bz2 transferred
2023-12-14 21:46:41 : 38.json.bz2 transferred
