Output directory successfully created.
Output directory successfully created.
2023-12-20 19:11:59 : Downloading twitter_stream_2019_02_22.tar
2023-12-20 19:12:29 : Extracting twitter_stream_2019_02_22.tar
2023-12-20 19:13:01 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_22.tar
2023-12-20 19:13:02 : 44.json transferred
2023-12-20 19:13:02 : 56.json transferred
2023-12-20 19:13:03 : 19.json transferred
2023-12-20 19:13:04 : 50.json transferred
2023-12-20 19:13:04 : 05.json transferred
2023-12-20 19:13:05 : 13.json transferred
2023-12-20 19:13:05 : 03.json transferred
2023-12-20 19:13:06 : 11.json transferred
2023-12-20 19:13:06 : 22.json transferred
2023-12-20 19:13:07 : 59.json transferred
2023-12-20 19:13:07 : 16.json transferred
2023-12-20 19:13:08 : 12.json transferred
2023-12-20 19:13:09 : 14.json transferred
2023-12-20 19:13:09 : 33.json transferred
2023-12-20 19:13:10 : 39.json transferred
2023-12-20 19:13:10 : 08.json transferred
2023-12-20 19:13:11 : 41.json transferred
2023-12-20 19:13:11 : 04.json transferred
2023-12-20 19:13:12 : 58.json transferred
2023-12-20 19:13:13 : 45.json transferred
2023-12-20 19:13:13 : 31.json transferred
2023-12-20 19:13:14 : 42.json transferred
2023-12-20 19:13:14 : 10.json transferred
2023-12-20 19:13:15 : 47.json transferred
2023-12-20 19:13:16 : 46.json transferred
2023-12-20 19:13:16 : 26.json transferred
2023-12-20 19:13:17 : 54.json transferred
2023-12-20 19:13:17 : 40.json transferred
2023-12-20 19:13:18 : 23.json transferred
2023-12-20 19:13:18 : 51.json transferred
2023-12-20 19:13:19 : 06.json transferred
2023-12-20 19:13:20 : 32.json transferred
2023-12-20 19:13:20 : 53.json transferred
2023-12-20 19:13:21 : 52.json transferred
2023-12-20 19:13:21 : 48.json transferred
2023-12-20 19:13:22 : 17.json transferred
2023-12-20 19:13:23 : 00.json transferred
2023-12-20 19:13:23 : 25.json transferred
2023-12-20 19:13:24 : 20.json transferred
2023-12-20 19:13:24 : 28.json transferred
2023-12-20 19:13:25 : 02.json transferred
2023-12-20 19:13:25 : 43.json transferred
2023-12-20 19:13:26 : 34.json transferred
2023-12-20 19:13:27 : 27.json transferred
2023-12-20 19:13:27 : 55.json transferred
2023-12-20 19:13:28 : 36.json transferred
2023-12-20 19:13:28 : 38.json transferred
2023-12-20 19:13:28 : 49.json transferred
2023-12-20 19:13:29 : 35.json transferred
2023-12-20 19:13:30 : 07.json transferred
2023-12-20 19:13:30 : 01.json transferred
2023-12-20 19:13:31 : 21.json transferred
2023-12-20 19:13:31 : 57.json transferred
2023-12-20 19:13:32 : 15.json transferred
2023-12-20 19:13:32 : 29.json transferred
2023-12-20 19:13:33 : 30.json transferred
2023-12-20 19:13:34 : 24.json transferred
2023-12-20 19:13:34 : 37.json transferred
2023-12-20 19:13:34 : 09.json transferred
2023-12-20 19:13:35 : 18.json transferred
2023-12-20 19:13:36 : 44.json transferred
2023-12-20 19:13:36 : 56.json transferred
2023-12-20 19:13:37 : 19.json transferred
2023-12-20 19:13:37 : 50.json transferred
2023-12-20 19:13:38 : 05.json transferred
2023-12-20 19:13:38 : 13.json transferred
2023-12-20 19:13:39 : 03.json transferred
2023-12-20 19:13:39 : 11.json transferred
2023-12-20 19:13:40 : 22.json transferred
2023-12-20 19:13:41 : 59.json transferred
2023-12-20 19:13:41 : 16.json transferred
2023-12-20 19:13:42 : 12.json transferred
2023-12-20 19:13:42 : 14.json transferred
2023-12-20 19:13:43 : 33.json transferred
2023-12-20 19:13:43 : 39.json transferred
2023-12-20 19:13:44 : 08.json transferred
2023-12-20 19:13:45 : 41.json transferred
2023-12-20 19:13:45 : 04.json transferred
2023-12-20 19:13:46 : 58.json transferred
2023-12-20 19:13:46 : 45.json transferred
2023-12-20 19:13:47 : 31.json transferred
2023-12-20 19:13:47 : 42.json transferred
2023-12-20 19:13:48 : 10.json transferred
2023-12-20 19:13:48 : 47.json transferred
2023-12-20 19:13:49 : 46.json transferred
2023-12-20 19:13:49 : 26.json transferred
2023-12-20 19:13:50 : 54.json transferred
2023-12-20 19:13:51 : 40.json transferred
2023-12-20 19:13:51 : 23.json transferred
2023-12-20 19:13:52 : 51.json transferred
2023-12-20 19:13:52 : 06.json transferred
2023-12-20 19:13:53 : 32.json transferred
