,filename-destination,filesize-destination,unit-destination,filesize-origin (GB),filename-origin
0,archiveteam-twitter-stream-2018-03.tar,52.9,GiB,52.9,archiveteam-twitter-stream-2018-03.tar
1,twitter-json-scrape-2011-09.zip,1.7,GiB,1.7,twitter-json-scrape-2011-09.zip
2,twitter-json-scrape-2011-10.zip,14.2,GiB,14.2,twitter-json-scrape-2011-10.zip
3,twitter-json-scrape-2011-11.zip,16.5,GiB,16.5,twitter-json-scrape-2011-11.zip
4,twitter-json-scrape-2011-12.zip,3.7,GiB,3.7,twitter-json-scrape-2011-12.zip
5,twitter-stream-2011-09-27.zip,70.5,MiB,0.07,twitter-stream-2011-09-27.zip
6,twitter-stream-2011-09-28.zip,550.2,MiB,0.55,twitter-stream-2011-09-28.zip
7,twitter-stream-2011-09-29.zip,551.1,MiB,0.55,twitter-stream-2011-09-29.zip
8,twitter-stream-2011-09-30.zip,556.7,MiB,0.56,twitter-stream-2011-09-30.zip
9,twitter-stream-2011-10-01.zip,554.8,MiB,0.55,twitter-stream-2011-10-01.zip
10,twitter-stream-2011-10-02.zip,587.6,MiB,0.59,twitter-stream-2011-10-02.zip
11,twitter-stream-2011-10-03.zip,561.2,MiB,0.56,twitter-stream-2011-10-03.zip
12,twitter-stream-2011-10-04.zip,539.7,MiB,0.54,twitter-stream-2011-10-04.zip
13,twitter-stream-2011-10-05.zip,549.1,MiB,0.55,twitter-stream-2011-10-05.zip
14,twitter-stream-2011-10-06.zip,212.9,MiB,0.21,twitter-stream-2011-10-06.zip
15,twitter-stream-2011-10-07.zip,513.4,MiB,0.51,twitter-stream-2011-10-07.zip
16,twitter-stream-2011-10-08.zip,456.5,MiB,0.46,twitter-stream-2011-10-08.zip
17,twitter-stream-2011-10-09.zip,247.0,MiB,0.25,twitter-stream-2011-10-09.zip
18,twitter-stream-2011-10-10.zip,523.8,MiB,0.52,twitter-stream-2011-10-10.zip
19,twitter-stream-2011-10-11.zip,537.9,MiB,0.54,twitter-stream-2011-10-11.zip
20,twitter-stream-2011-10-12.zip,506.2,MiB,0.51,twitter-stream-2011-10-12.zip
21,twitter-stream-2011-10-13.zip,391.1,KiB,0.0,twitter-stream-2011-10-13.zip
22,twitter-stream-2011-10-14.zip,119.1,MiB,0.12,twitter-stream-2011-10-14.zip
23,twitter-stream-2011-10-15.zip,394.7,MiB,0.39,twitter-stream-2011-10-15.zip
24,twitter-stream-2011-10-16.zip,543.7,MiB,0.54,twitter-stream-2011-10-16.zip
25,twitter-stream-2011-10-17.zip,107.4,MiB,0.11,twitter-stream-2011-10-17.zip
26,twitter-stream-2011-10-18.zip,163.7,MiB,0.16,twitter-stream-2011-10-18.zip
27,twitter-stream-2011-10-19.zip,579.2,MiB,0.58,twitter-stream-2011-10-19.zip
28,twitter-stream-2011-10-20.zip,557.5,MiB,0.56,twitter-stream-2011-10-20.zip
29,twitter-stream-2011-10-21.zip,564.5,MiB,0.56,twitter-stream-2011-10-21.zip
30,twitter-stream-2011-10-22.zip,549.5,MiB,0.55,twitter-stream-2011-10-22.zip
31,twitter-stream-2011-10-23.zip,577.3,MiB,0.58,twitter-stream-2011-10-23.zip
32,twitter-stream-2011-10-24.zip,581.5,MiB,0.58,twitter-stream-2011-10-24.zip
33,twitter-stream-2011-10-25.zip,577.7,MiB,0.58,twitter-stream-2011-10-25.zip
34,twitter-stream-2011-10-26.zip,576.7,MiB,0.58,twitter-stream-2011-10-26.zip
35,twitter-stream-2011-10-27.zip,588.6,MiB,0.59,twitter-stream-2011-10-27.zip
36,twitter-stream-2011-10-28.zip,574.0,MiB,0.57,twitter-stream-2011-10-28.zip
37,twitter-stream-2011-10-29.zip,554.2,MiB,0.55,twitter-stream-2011-10-29.zip
38,twitter-stream-2011-10-30.zip,585.8,MiB,0.59,twitter-stream-2011-10-30.zip
39,twitter-stream-2011-10-31.zip,580.2,MiB,0.58,twitter-stream-2011-10-31.zip
40,twitter-stream-2011-11-01.zip,586.6,MiB,0.59,twitter-stream-2011-11-01.zip
41,twitter-stream-2011-11-02.zip,596.0,MiB,0.6,twitter-stream-2011-11-02.zip
42,twitter-stream-2011-11-03.zip,593.9,MiB,0.59,twitter-stream-2011-11-03.zip
43,twitter-stream-2011-11-04.zip,591.7,MiB,0.59,twitter-stream-2011-11-04.zip
44,twitter-stream-2011-11-05.zip,586.0,MiB,0.59,twitter-stream-2011-11-05.zip
45,twitter-stream-2011-11-06.zip,631.5,MiB,0.63,twitter-stream-2011-11-06.zip
46,twitter-stream-2011-11-07.zip,596.5,MiB,0.6,twitter-stream-2011-11-07.zip
47,twitter-stream-2011-11-08.zip,586.0,MiB,0.59,twitter-stream-2011-11-08.zip
48,twitter-stream-2011-11-09.zip,597.5,MiB,0.6,twitter-stream-2011-11-09.zip
49,twitter-stream-2011-11-10.zip,598.6,MiB,0.6,twitter-stream-2011-11-10.zip
50,twitter-stream-2011-11-11.zip,606.4,MiB,0.61,twitter-stream-2011-11-11.zip
51,twitter-stream-2011-11-12.zip,578.7,MiB,0.58,twitter-stream-2011-11-12.zip
52,twitter-stream-2011-11-13.zip,609.1,MiB,0.61,twitter-stream-2011-11-13.zip
53,twitter-stream-2011-11-14.zip,602.7,MiB,0.6,twitter-stream-2011-11-14.zip
54,twitter-stream-2011-11-15.zip,605.1,MiB,0.61,twitter-stream-2011-11-15.zip
55,twitter-stream-2011-11-16.zip,604.4,MiB,0.6,twitter-stream-2011-11-16.zip
56,twitter-stream-2011-11-17.zip,597.7,MiB,0.6,twitter-stream-2011-11-17.zip
57,twitter-stream-2011-11-18.zip,584.5,MiB,0.58,twitter-stream-2011-11-18.zip
58,twitter-stream-2011-11-19.zip,590.3,MiB,0.59,twitter-stream-2011-11-19.zip
59,twitter-stream-2011-11-20.zip,627.8,MiB,0.63,twitter-stream-2011-11-20.zip
60,twitter-stream-2011-11-21.zip,622.8,MiB,0.62,twitter-stream-2011-11-21.zip
61,twitter-stream-2011-11-22.zip,631.2,MiB,0.63,twitter-stream-2011-11-22.zip
62,twitter-stream-2011-11-23.zip,629.6,MiB,0.63,twitter-stream-2011-11-23.zip
63,twitter-stream-2011-11-24.zip,610.4,MiB,0.61,twitter-stream-2011-11-24.zip
64,twitter-stream-2011-11-25.zip,599.8,MiB,0.6,twitter-stream-2011-11-25.zip
65,twitter-stream-2011-11-26.zip,614.6,MiB,0.61,twitter-stream-2011-11-26.zip
66,twitter-stream-2011-11-27.zip,640.1,MiB,0.64,twitter-stream-2011-11-27.zip
67,twitter-stream-2011-11-28.zip,618.4,MiB,0.62,twitter-stream-2011-11-28.zip
68,twitter-stream-2011-12-26.zip,286.8,MiB,0.29,twitter-stream-2011-12-26.zip
69,twitter-stream-2011-12-27.zip,692.1,MiB,0.69,twitter-stream-2011-12-27.zip
70,twitter-stream-2011-12-28.zip,704.2,MiB,0.7,twitter-stream-2011-12-28.zip
71,twitter-stream-2011-12-29.zip,721.8,MiB,0.72,twitter-stream-2011-12-29.zip
72,twitter-stream-2011-12-30.zip,718.4,MiB,0.72,twitter-stream-2011-12-30.zip
73,twitter-stream-2011-12-31.zip,674.9,MiB,0.67,twitter-stream-2011-12-31.zip
74,twitter_stream_2019_01_01.tar,1.6,GiB,1.6,twitter_stream_2019_01_01.tar
