,filename-destination,filesize-destination,unit-destination,filesize-origin (GB),filename-origin
75,twitter_stream_2019_01_02.tar,1.7,GiB,1.7,twitter_stream_2019_01_02.tar
76,twitter_stream_2019_01_03.tar,905.7,MiB,0.91,twitter_stream_2019_01_03.tar
77,twitter_stream_2019_01_09.tar,864.6,MiB,0.86,twitter_stream_2019_01_09.tar
78,twitter_stream_2019_01_10.tar,1.8,GiB,1.8,twitter_stream_2019_01_10.tar
79,twitter_stream_2019_01_13.tar,2.4,GiB,2.4,twitter_stream_2019_01_13.tar
80,twitter_stream_2019_01_14.tar,2.2,GiB,2.2,twitter_stream_2019_01_14.tar
81,twitter_stream_2019_01_15.tar,2.1,GiB,2.1,twitter_stream_2019_01_15.tar
82,twitter_stream_2019_01_16.tar,1.8,GiB,1.8,twitter_stream_2019_01_16.tar
83,twitter_stream_2019_01_17.tar,1.8,GiB,1.8,twitter_stream_2019_01_17.tar
84,twitter_stream_2019_01_18.tar,1.7,GiB,1.7,twitter_stream_2019_01_18.tar
85,twitter_stream_2019_01_19.tar,1.8,GiB,1.8,twitter_stream_2019_01_19.tar
86,twitter_stream_2019_01_20.tar,1.8,GiB,1.8,twitter_stream_2019_01_20.tar
87,twitter_stream_2019_01_21.tar,1.8,GiB,1.8,twitter_stream_2019_01_21.tar
88,twitter_stream_2019_01_22.tar,1.8,GiB,1.8,twitter_stream_2019_01_22.tar
89,twitter_stream_2019_01_23.tar,1.9,GiB,1.9,twitter_stream_2019_01_23.tar
90,twitter_stream_2019_01_24.tar,1.8,GiB,1.8,twitter_stream_2019_01_24.tar
91,twitter_stream_2019_01_25.tar,1.8,GiB,1.8,twitter_stream_2019_01_25.tar
92,twitter_stream_2019_01_26.tar,1.8,GiB,1.8,twitter_stream_2019_01_26.tar
93,twitter_stream_2019_01_27.tar,1.8,GiB,1.8,twitter_stream_2019_01_27.tar
94,twitter_stream_2019_01_28.tar,1.4,GiB,1.4,twitter_stream_2019_01_28.tar
95,twitter_stream_2019_01_29.tar,895.6,MiB,0.9,twitter_stream_2019_01_29.tar
96,twitter_stream_2019_01_30.tar,1.9,GiB,1.9,twitter_stream_2019_01_30.tar
97,twitter_stream_2019_01_31.tar,865.0,MiB,0.87,twitter_stream_2019_01_31.tar
98,twitter_stream_2019_02_01.tar,607.4,MiB,0.61,twitter_stream_2019_02_01.tar
99,twitter_stream_2019_02_02.tar,1.8,GiB,1.8,twitter_stream_2019_02_02.tar
100,twitter_stream_2019_02_03.tar,1.8,GiB,1.8,twitter_stream_2019_02_03.tar
101,twitter_stream_2019_02_04.tar,1.6,GiB,1.6,twitter_stream_2019_02_04.tar
102,twitter_stream_2019_02_05.tar,1.8,GiB,1.8,twitter_stream_2019_02_05.tar
103,twitter_stream_2019_02_06.tar,1.8,GiB,1.8,twitter_stream_2019_02_06.tar
104,twitter_stream_2019_02_07.tar,1.8,GiB,1.8,twitter_stream_2019_02_07.tar
105,twitter_stream_2019_02_08.tar,1.8,GiB,1.8,twitter_stream_2019_02_08.tar
106,twitter_stream_2019_02_09.tar,1.8,GiB,1.8,twitter_stream_2019_02_09.tar
107,twitter_stream_2019_02_10.tar,2.0,GiB,2.0,twitter_stream_2019_02_10.tar
108,twitter_stream_2019_02_11.tar,1.8,GiB,1.8,twitter_stream_2019_02_11.tar
109,twitter_stream_2019_02_12.tar,1.8,GiB,1.8,twitter_stream_2019_02_12.tar
110,twitter_stream_2019_02_13.tar,1.8,GiB,1.8,twitter_stream_2019_02_13.tar
111,twitter_stream_2019_02_14.tar,1.8,GiB,1.8,twitter_stream_2019_02_14.tar
112,twitter_stream_2019_02_15.tar,1.7,GiB,1.7,twitter_stream_2019_02_15.tar
113,twitter_stream_2019_02_16.tar,1.7,GiB,1.7,twitter_stream_2019_02_16.tar
114,twitter_stream_2019_02_17.tar,1.8,GiB,1.8,twitter_stream_2019_02_17.tar
115,twitter_stream_2019_02_18.tar,1.8,GiB,1.8,twitter_stream_2019_02_18.tar
116,twitter_stream_2019_02_19.tar,1.8,GiB,1.8,twitter_stream_2019_02_19.tar
117,twitter_stream_2019_02_20.tar,1.8,GiB,1.8,twitter_stream_2019_02_20.tar
118,twitter_stream_2019_02_21.tar,1.8,GiB,1.8,twitter_stream_2019_02_21.tar
119,twitter_stream_2019_02_22.tar,1.8,GiB,1.8,twitter_stream_2019_02_22.tar
120,twitter_stream_2019_02_23.tar,1.8,GiB,1.8,twitter_stream_2019_02_23.tar
121,twitter_stream_2019_02_24.tar,1.9,GiB,1.9,twitter_stream_2019_02_24.tar
122,twitter_stream_2019_02_25.tar,1.8,GiB,1.8,twitter_stream_2019_02_25.tar
123,twitter_stream_2019_02_26.tar,1.9,GiB,1.9,twitter_stream_2019_02_26.tar
124,twitter_stream_2019_02_27.tar,1.9,GiB,1.9,twitter_stream_2019_02_27.tar
125,twitter_stream_2019_02_28.tar,1.8,GiB,1.8,twitter_stream_2019_02_28.tar
126,twitter_stream_2019_03_01.tar,1.4,GiB,1.4,twitter_stream_2019_03_01.tar
127,twitter_stream_2019_03_02.tar,1.9,GiB,1.9,twitter_stream_2019_03_02.tar
128,twitter_stream_2019_03_03.tar,1.8,GiB,1.8,twitter_stream_2019_03_03.tar
129,twitter_stream_2019_03_04.tar,1.8,GiB,1.8,twitter_stream_2019_03_04.tar
130,twitter_stream_2019_03_05.tar,1.7,GiB,1.7,twitter_stream_2019_03_05.tar
131,twitter_stream_2019_03_06.tar,1.8,GiB,1.8,twitter_stream_2019_03_06.tar
132,twitter_stream_2019_03_07.tar,1.8,GiB,1.8,twitter_stream_2019_03_07.tar
133,twitter_stream_2019_03_08.tar,1.8,GiB,1.8,twitter_stream_2019_03_08.tar
134,twitter_stream_2019_03_09.tar,1.8,GiB,1.8,twitter_stream_2019_03_09.tar
135,twitter_stream_2019_03_10.tar,1.8,GiB,1.8,twitter_stream_2019_03_10.tar
136,twitter_stream_2019_03_11.tar,1.8,GiB,1.8,twitter_stream_2019_03_11.tar
137,twitter_stream_2019_03_12.tar,1.9,GiB,1.9,twitter_stream_2019_03_12.tar
138,twitter_stream_2019_03_13.tar,1.7,GiB,1.7,twitter_stream_2019_03_13.tar
139,twitter_stream_2019_03_14.tar,1.9,GiB,1.9,twitter_stream_2019_03_14.tar
140,twitter_stream_2019_03_15.tar,1.9,GiB,1.9,twitter_stream_2019_03_15.tar
141,twitter_stream_2019_03_16.tar,2.0,GiB,2.0,twitter_stream_2019_03_16.tar
142,twitter_stream_2019_03_17.tar,1.9,GiB,1.9,twitter_stream_2019_03_17.tar
143,twitter_stream_2019_03_18.tar,1.8,GiB,1.8,twitter_stream_2019_03_18.tar
144,twitter_stream_2019_03_19.tar,1.8,GiB,1.8,twitter_stream_2019_03_19.tar
145,twitter_stream_2019_03_20.tar,1.9,GiB,1.9,twitter_stream_2019_03_20.tar
146,twitter_stream_2019_03_21.tar,1.9,GiB,1.9,twitter_stream_2019_03_21.tar
147,twitter_stream_2019_03_22.tar,1.8,GiB,1.8,twitter_stream_2019_03_22.tar
148,twitter_stream_2019_03_23.tar,572.5,MiB,0.57,twitter_stream_2019_03_23.tar
149,twitter_stream_2019_03_28.tar,215.2,MiB,0.22,twitter_stream_2019_03_28.tar
150,twitter_stream_2019_03_29.tar,1.8,GiB,1.8,twitter_stream_2019_03_29.tar
151,twitter_stream_2019_03_30.tar,1.8,GiB,1.8,twitter_stream_2019_03_30.tar
152,twitter_stream_2019_03_31.tar,2.0,GiB,2.0,twitter_stream_2019_03_31.tar
153,twitter_stream_2019_04_01.tar,1.1,GiB,1.1,twitter_stream_2019_04_01.tar
154,twitter_stream_2019_04_02.tar,880.5,MiB,0.88,twitter_stream_2019_04_02.tar
155,twitter_stream_2019_04_03.tar,1.0,GiB,1.0,twitter_stream_2019_04_03.tar
156,twitter_stream_2019_04_04.tar,1.9,GiB,1.9,twitter_stream_2019_04_04.tar
157,twitter_stream_2019_04_05.tar,1.8,GiB,1.8,twitter_stream_2019_04_05.tar
158,twitter_stream_2019_04_06.tar,1.8,GiB,1.8,twitter_stream_2019_04_06.tar
159,twitter_stream_2019_04_07.tar,1.9,GiB,1.9,twitter_stream_2019_04_07.tar
160,twitter_stream_2019_04_08.tar,1.2,GiB,1.2,twitter_stream_2019_04_08.tar
161,twitter_stream_2019_04_09.tar,1.9,GiB,1.9,twitter_stream_2019_04_09.tar
162,twitter_stream_2019_04_10.tar,1.9,GiB,1.9,twitter_stream_2019_04_10.tar
163,twitter_stream_2019_04_11.tar,1.9,GiB,1.9,twitter_stream_2019_04_11.tar
164,twitter_stream_2019_04_12.tar,2.0,GiB,2.0,twitter_stream_2019_04_12.tar
165,twitter_stream_2019_04_13.tar,1.9,GiB,1.9,twitter_stream_2019_04_13.tar
166,twitter_stream_2019_04_14.tar,1.9,GiB,1.9,twitter_stream_2019_04_14.tar
167,twitter_stream_2019_04_15.tar,1.8,GiB,1.8,twitter_stream_2019_04_15.tar
168,twitter_stream_2019_04_16.tar,1.9,GiB,1.9,twitter_stream_2019_04_16.tar
169,twitter_stream_2019_04_17.tar,1.9,GiB,1.9,twitter_stream_2019_04_17.tar
170,twitter_stream_2019_04_18.tar,1.9,GiB,1.9,twitter_stream_2019_04_18.tar
171,twitter_stream_2019_04_19.tar,1.8,GiB,1.8,twitter_stream_2019_04_19.tar
172,twitter_stream_2019_04_20.tar,1.8,GiB,1.8,twitter_stream_2019_04_20.tar
173,twitter_stream_2019_04_21.tar,1.9,GiB,1.9,twitter_stream_2019_04_21.tar
174,twitter_stream_2019_04_22.tar,2.0,GiB,2.0,twitter_stream_2019_04_22.tar
175,twitter_stream_2019_04_23.tar,2.0,GiB,2.0,twitter_stream_2019_04_23.tar
176,twitter_stream_2019_04_24.tar,2.0,GiB,2.0,twitter_stream_2019_04_24.tar
177,twitter_stream_2019_04_25.tar,2.0,GiB,2.0,twitter_stream_2019_04_25.tar
178,twitter_stream_2019_04_26.tar,1.9,GiB,1.9,twitter_stream_2019_04_26.tar
179,twitter_stream_2019_04_27.tar,1.9,GiB,1.9,twitter_stream_2019_04_27.tar
180,twitter_stream_2019_04_28.tar,1.9,GiB,1.9,twitter_stream_2019_04_28.tar
181,twitter_stream_2019_04_29.tar,1.9,GiB,1.9,twitter_stream_2019_04_29.tar
182,twitter_stream_2019_04_30.tar,2.0,GiB,2.0,twitter_stream_2019_04_30.tar
183,twitter_stream_2019_05_01.tar,2.1,GiB,2.1,twitter_stream_2019_05_01.tar
184,twitter_stream_2019_05_02.tar,1.8,GiB,1.8,twitter_stream_2019_05_02.tar
185,twitter_stream_2019_05_03.tar,1.8,GiB,1.8,twitter_stream_2019_05_03.tar
186,twitter_stream_2019_05_04.tar,1.8,GiB,1.8,twitter_stream_2019_05_04.tar
187,twitter_stream_2019_05_05.tar,1.9,GiB,1.9,twitter_stream_2019_05_05.tar
188,twitter_stream_2019_05_06.tar,1.9,GiB,1.9,twitter_stream_2019_05_06.tar
189,twitter_stream_2019_05_07.tar,1.9,GiB,1.9,twitter_stream_2019_05_07.tar
190,twitter_stream_2019_05_08.tar,1.9,GiB,1.9,twitter_stream_2019_05_08.tar
191,twitter_stream_2019_05_09.tar,1.8,GiB,1.8,twitter_stream_2019_05_09.tar
192,twitter_stream_2019_05_10.tar,1.8,GiB,1.8,twitter_stream_2019_05_10.tar
193,twitter_stream_2019_05_11.tar,1.8,GiB,1.8,twitter_stream_2019_05_11.tar
194,twitter_stream_2019_05_12.tar,1.8,GiB,1.8,twitter_stream_2019_05_12.tar
195,twitter_stream_2019_05_13.tar,1.8,GiB,1.8,twitter_stream_2019_05_13.tar
196,twitter_stream_2019_05_14.tar,1.8,GiB,1.8,twitter_stream_2019_05_14.tar
197,twitter_stream_2019_05_15.tar,1.9,GiB,1.9,twitter_stream_2019_05_15.tar
198,twitter_stream_2019_05_16.tar,1.9,GiB,1.9,twitter_stream_2019_05_16.tar
199,twitter_stream_2019_05_17.tar,1.9,GiB,1.9,twitter_stream_2019_05_17.tar
200,twitter_stream_2019_05_18.tar,1.8,GiB,1.8,twitter_stream_2019_05_18.tar
201,twitter_stream_2019_05_19.tar,1.9,GiB,1.9,twitter_stream_2019_05_19.tar
202,twitter_stream_2019_05_20.tar,1.9,GiB,1.9,twitter_stream_2019_05_20.tar
203,twitter_stream_2019_05_21.tar,1.9,GiB,1.9,twitter_stream_2019_05_21.tar
204,twitter_stream_2019_05_22.tar,1.9,GiB,1.9,twitter_stream_2019_05_22.tar
205,twitter_stream_2019_05_23.tar,1.9,GiB,1.9,twitter_stream_2019_05_23.tar
206,twitter_stream_2019_05_24.tar,1.8,GiB,1.8,twitter_stream_2019_05_24.tar
207,twitter_stream_2019_05_25.tar,1.9,GiB,1.9,twitter_stream_2019_05_25.tar
208,twitter_stream_2019_05_26.tar,1.9,GiB,1.9,twitter_stream_2019_05_26.tar
209,twitter_stream_2019_05_27.tar,1.8,GiB,1.8,twitter_stream_2019_05_27.tar
210,twitter_stream_2019_05_28.tar,1.8,GiB,1.8,twitter_stream_2019_05_28.tar
211,twitter_stream_2019_05_29.tar,1.8,GiB,1.8,twitter_stream_2019_05_29.tar
212,twitter_stream_2019_05_30.tar,1.8,GiB,1.8,twitter_stream_2019_05_30.tar
213,twitter_stream_2019_05_31.tar,1.8,GiB,1.8,twitter_stream_2019_05_31.tar
214,twitter_stream_2019_06_01.tar,1.8,GiB,1.8,twitter_stream_2019_06_01.tar
215,twitter_stream_2019_06_02.tar,1.9,GiB,1.9,twitter_stream_2019_06_02.tar
216,twitter_stream_2019_06_03.tar,1.8,GiB,1.8,twitter_stream_2019_06_03.tar
217,twitter_stream_2019_06_04.tar,1.8,GiB,1.8,twitter_stream_2019_06_04.tar
218,twitter_stream_2019_06_05.tar,1.8,GiB,1.8,twitter_stream_2019_06_05.tar
219,twitter_stream_2019_06_06.tar,1.8,GiB,1.8,twitter_stream_2019_06_06.tar
220,twitter_stream_2019_06_07.tar,1.8,GiB,1.8,twitter_stream_2019_06_07.tar
221,twitter_stream_2019_06_08.tar,1.8,GiB,1.8,twitter_stream_2019_06_08.tar
222,twitter_stream_2019_06_09.tar,1.8,GiB,1.8,twitter_stream_2019_06_09.tar
223,twitter_stream_2019_06_10.tar,1.8,GiB,1.8,twitter_stream_2019_06_10.tar
224,twitter_stream_2019_06_11.tar,1.8,GiB,1.8,twitter_stream_2019_06_11.tar
225,twitter_stream_2019_06_12.tar,1.9,GiB,1.9,twitter_stream_2019_06_12.tar
226,twitter_stream_2019_06_13.tar,1.9,GiB,1.9,twitter_stream_2019_06_13.tar
227,twitter_stream_2019_06_14.tar,1.8,GiB,1.8,twitter_stream_2019_06_14.tar
228,twitter_stream_2019_06_15.tar,1.8,GiB,1.8,twitter_stream_2019_06_15.tar
229,twitter_stream_2019_06_16.tar,1.8,GiB,1.8,twitter_stream_2019_06_16.tar
230,twitter_stream_2019_06_17.tar,1.8,GiB,1.8,twitter_stream_2019_06_17.tar
231,twitter_stream_2019_06_18.tar,1.8,GiB,1.8,twitter_stream_2019_06_18.tar
232,twitter_stream_2019_06_19.tar,1.8,GiB,1.8,twitter_stream_2019_06_19.tar
233,twitter_stream_2019_06_20.tar,1.8,GiB,1.8,twitter_stream_2019_06_20.tar
234,twitter_stream_2019_06_21.tar,1.9,GiB,1.9,twitter_stream_2019_06_21.tar
235,twitter_stream_2019_06_22.tar,1.8,GiB,1.8,twitter_stream_2019_06_22.tar
236,twitter_stream_2019_06_23.tar,1.9,GiB,1.9,twitter_stream_2019_06_23.tar
237,twitter_stream_2019_06_24.tar,20.0,KiB,0.0,twitter_stream_2019_06_24.tar
238,twitter_stream_2019_06_25.tar,1.9,GiB,1.9,twitter_stream_2019_06_25.tar
239,twitter_stream_2019_06_26.tar,1.9,GiB,1.9,twitter_stream_2019_06_26.tar
240,twitter_stream_2019_06_27.tar,1.9,GiB,1.9,twitter_stream_2019_06_27.tar
241,twitter_stream_2019_06_28.tar,2.0,GiB,2.0,twitter_stream_2019_06_28.tar
242,twitter_stream_2019_06_29.tar,1.9,GiB,1.9,twitter_stream_2019_06_29.tar
243,twitter_stream_2019_06_30.tar,2.0,GiB,2.0,twitter_stream_2019_06_30.tar
244,twitter_stream_2019_07_01.tar,2.0,GiB,2.0,twitter_stream_2019_07_01.tar
245,twitter_stream_2019_07_02.tar,2.0,GiB,2.0,twitter_stream_2019_07_02.tar
246,twitter_stream_2019_07_03.tar,1.9,GiB,1.9,twitter_stream_2019_07_03.tar
247,twitter_stream_2019_07_04.tar,1.8,GiB,1.8,twitter_stream_2019_07_04.tar
248,twitter_stream_2019_07_05.tar,1.9,GiB,1.9,twitter_stream_2019_07_05.tar
249,twitter_stream_2019_07_06.tar,1.9,GiB,1.9,twitter_stream_2019_07_06.tar
250,twitter_stream_2019_07_07.tar,2.0,GiB,2.0,twitter_stream_2019_07_07.tar
251,twitter_stream_2019_07_08.tar,1.9,GiB,1.9,twitter_stream_2019_07_08.tar
252,twitter_stream_2019_07_09.tar,1.9,GiB,1.9,twitter_stream_2019_07_09.tar
253,twitter_stream_2019_07_10.tar,1.9,GiB,1.9,twitter_stream_2019_07_10.tar
254,twitter_stream_2019_07_11.tar,1.6,GiB,1.6,twitter_stream_2019_07_11.tar
255,twitter_stream_2019_07_12.tar,1.6,GiB,1.6,twitter_stream_2019_07_12.tar
256,twitter_stream_2019_07_13.tar,1.9,GiB,1.9,twitter_stream_2019_07_13.tar
257,twitter_stream_2019_07_14.tar,1.9,GiB,1.9,twitter_stream_2019_07_14.tar
258,twitter_stream_2019_07_15.tar,1.9,GiB,1.9,twitter_stream_2019_07_15.tar
259,twitter_stream_2019_07_16.tar,1.9,GiB,1.9,twitter_stream_2019_07_16.tar
260,twitter_stream_2019_07_17.tar,2.0,GiB,2.0,twitter_stream_2019_07_17.tar
261,twitter_stream_2019_07_18.tar,2.0,GiB,2.0,twitter_stream_2019_07_18.tar
262,twitter_stream_2019_07_19.tar,1.9,GiB,1.9,twitter_stream_2019_07_19.tar
263,twitter_stream_2019_07_20.tar,1.9,GiB,1.9,twitter_stream_2019_07_20.tar
264,twitter_stream_2019_07_21.tar,1.9,GiB,1.9,twitter_stream_2019_07_21.tar
265,twitter_stream_2019_07_22.tar,2.0,GiB,2.0,twitter_stream_2019_07_22.tar
266,twitter_stream_2019_07_23.tar,1.9,GiB,1.9,twitter_stream_2019_07_23.tar
267,twitter_stream_2019_07_24.tar,1.9,GiB,1.9,twitter_stream_2019_07_24.tar
268,twitter_stream_2019_07_25.tar,2.0,GiB,2.0,twitter_stream_2019_07_25.tar
269,twitter_stream_2019_07_26.tar,2.0,GiB,2.0,twitter_stream_2019_07_26.tar
270,twitter_stream_2019_07_27.tar,1.8,GiB,1.8,twitter_stream_2019_07_27.tar
271,twitter_stream_2019_07_28.tar,1.9,GiB,1.9,twitter_stream_2019_07_28.tar
272,twitter_stream_2019_07_29.tar,1.9,GiB,1.9,twitter_stream_2019_07_29.tar
273,twitter_stream_2019_07_30.tar,1.9,GiB,1.9,twitter_stream_2019_07_30.tar
274,twitter_stream_2019_07_31.tar,1.9,GiB,1.9,twitter_stream_2019_07_31.tar
275,twitter_stream_2019_08_01.tar,1.9,GiB,1.9,twitter_stream_2019_08_01.tar
276,twitter_stream_2019_08_02.tar,1.9,GiB,1.9,twitter_stream_2019_08_02.tar
277,twitter_stream_2019_08_03.tar,1.8,GiB,1.8,twitter_stream_2019_08_03.tar
278,twitter_stream_2019_08_04.tar,1.9,GiB,1.9,twitter_stream_2019_08_04.tar
279,twitter_stream_2019_08_05.tar,2.0,GiB,2.0,twitter_stream_2019_08_05.tar
280,twitter_stream_2019_08_06.tar,1.9,GiB,1.9,twitter_stream_2019_08_06.tar
281,twitter_stream_2019_08_07.tar,2.0,GiB,2.0,twitter_stream_2019_08_07.tar
282,twitter_stream_2019_08_08.tar,2.0,GiB,2.0,twitter_stream_2019_08_08.tar
283,twitter_stream_2019_08_09.tar,1.9,GiB,1.9,twitter_stream_2019_08_09.tar
284,twitter_stream_2019_08_10.tar,1.8,GiB,1.8,twitter_stream_2019_08_10.tar
285,twitter_stream_2019_08_11.tar,1.9,GiB,1.9,twitter_stream_2019_08_11.tar
286,twitter_stream_2019_08_12.tar,1.9,GiB,1.9,twitter_stream_2019_08_12.tar
287,twitter_stream_2019_08_13.tar,1.9,GiB,1.9,twitter_stream_2019_08_13.tar
288,twitter_stream_2019_08_14.tar,1.9,GiB,1.9,twitter_stream_2019_08_14.tar
