Output directory successfully created.
Output directory successfully created.
2023-12-20 19:12:00 : Downloading twitter_stream_2019_02_25.tar
2023-12-20 19:12:30 : Extracting twitter_stream_2019_02_25.tar
2023-12-20 19:13:19 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_25.tar
2023-12-20 19:13:20 : 44.json transferred
2023-12-20 19:13:20 : 56.json transferred
2023-12-20 19:13:21 : 19.json transferred
2023-12-20 19:13:22 : 50.json transferred
2023-12-20 19:13:22 : 05.json transferred
2023-12-20 19:13:23 : 13.json transferred
2023-12-20 19:13:24 : 03.json transferred
2023-12-20 19:13:24 : 11.json transferred
2023-12-20 19:13:25 : 22.json transferred
2023-12-20 19:13:25 : 59.json transferred
2023-12-20 19:13:26 : 16.json transferred
2023-12-20 19:13:27 : 12.json transferred
2023-12-20 19:13:28 : 14.json transferred
2023-12-20 19:13:28 : 33.json transferred
2023-12-20 19:13:29 : 39.json transferred
2023-12-20 19:13:30 : 08.json transferred
2023-12-20 19:13:30 : 41.json transferred
2023-12-20 19:13:31 : 04.json transferred
2023-12-20 19:13:32 : 58.json transferred
2023-12-20 19:13:32 : 45.json transferred
2023-12-20 19:13:33 : 31.json transferred
2023-12-20 19:13:33 : 42.json transferred
2023-12-20 19:13:34 : 10.json transferred
2023-12-20 19:13:35 : 47.json transferred
2023-12-20 19:13:35 : 46.json transferred
2023-12-20 19:13:36 : 26.json transferred
2023-12-20 19:13:37 : 54.json transferred
2023-12-20 19:13:37 : 40.json transferred
2023-12-20 19:13:38 : 23.json transferred
2023-12-20 19:13:38 : 51.json transferred
2023-12-20 19:13:39 : 06.json transferred
2023-12-20 19:13:40 : 32.json transferred
2023-12-20 19:13:40 : 53.json transferred
2023-12-20 19:13:41 : 52.json transferred
2023-12-20 19:13:42 : 48.json transferred
2023-12-20 19:13:42 : 17.json transferred
2023-12-20 19:13:43 : 00.json transferred
2023-12-20 19:13:44 : 25.json transferred
2023-12-20 19:13:44 : 20.json transferred
2023-12-20 19:13:45 : 28.json transferred
2023-12-20 19:13:45 : 02.json transferred
2023-12-20 19:13:46 : 43.json transferred
2023-12-20 19:13:47 : 34.json transferred
2023-12-20 19:13:47 : 27.json transferred
2023-12-20 19:13:48 : 55.json transferred
2023-12-20 19:13:49 : 36.json transferred
2023-12-20 19:13:50 : 38.json transferred
2023-12-20 19:13:50 : 49.json transferred
2023-12-20 19:13:51 : 35.json transferred
2023-12-20 19:13:52 : 07.json transferred
2023-12-20 19:13:52 : 01.json transferred
2023-12-20 19:13:53 : 21.json transferred
2023-12-20 19:13:53 : 57.json transferred
2023-12-20 19:13:54 : 15.json transferred
2023-12-20 19:13:55 : 29.json transferred
2023-12-20 19:13:55 : 30.json transferred
2023-12-20 19:13:56 : 24.json transferred
2023-12-20 19:13:57 : 37.json transferred
2023-12-20 19:13:57 : 09.json transferred
2023-12-20 19:13:58 : 18.json transferred
2023-12-20 19:13:58 : 44.json transferred
2023-12-20 19:13:59 : 56.json transferred
2023-12-20 19:14:00 : 19.json transferred
2023-12-20 19:14:00 : 50.json transferred
2023-12-20 19:14:01 : 05.json transferred
2023-12-20 19:14:01 : 13.json transferred
2023-12-20 19:14:02 : 03.json transferred
2023-12-20 19:14:03 : 11.json transferred
2023-12-20 19:14:03 : 22.json transferred
2023-12-20 19:14:04 : 59.json transferred
2023-12-20 19:14:04 : 16.json transferred
2023-12-20 19:14:05 : 12.json transferred
2023-12-20 19:14:06 : 14.json transferred
2023-12-20 19:14:06 : 33.json transferred
2023-12-20 19:14:07 : 39.json transferred
2023-12-20 19:14:08 : 08.json transferred
2023-12-20 19:14:08 : 41.json transferred
2023-12-20 19:14:09 : 04.json transferred
2023-12-20 19:14:09 : 58.json transferred
2023-12-20 19:14:10 : 45.json transferred
2023-12-20 19:14:11 : 31.json transferred
2023-12-20 19:14:11 : 42.json transferred
2023-12-20 19:14:12 : 10.json transferred
2023-12-20 19:14:12 : 47.json transferred
2023-12-20 19:14:13 : 46.json transferred
2023-12-20 19:14:14 : 26.json transferred
2023-12-20 19:14:14 : 54.json transferred
2023-12-20 19:14:15 : 40.json transferred
2023-12-20 19:14:15 : 23.json transferred
2023-12-20 19:14:16 : 51.json transferred
2023-12-20 19:14:17 : 06.json transferred
2023-12-20 19:14:17 : 32.json transferred
2023-12-20 19:14:18 : 53.json transferred
2023-12-20 19:14:18 : 52.json transferred
2023-12-20 19:14:19 : 48.json transferred
2023-12-20 19:14:20 : 17.json transferred
2023-12-20 19:14:20 : 00.json transferred
2023-12-20 19:14:21 : 25.json transferred
2023-12-20 19:14:21 : 20.json transferred
2023-12-20 19:14:22 : 28.json transferred
2023-12-20 19:14:23 : 02.json transferred
2023-12-20 19:14:23 : 43.json transferred
2023-12-20 19:14:24 : 34.json transferred
2023-12-20 19:14:25 : 27.json transferred
2023-12-20 19:14:25 : 55.json transferred
2023-12-20 19:14:26 : 36.json transferred
2023-12-20 19:14:26 : 38.json transferred
2023-12-20 19:14:27 : 49.json transferred
2023-12-20 19:14:27 : 35.json transferred
2023-12-20 19:14:28 : 07.json transferred
2023-12-20 19:14:29 : 01.json transferred
2023-12-20 19:14:29 : 21.json transferred
2023-12-20 19:14:30 : 57.json transferred
2023-12-20 19:14:30 : 15.json transferred
2023-12-20 19:14:31 : 29.json transferred
2023-12-20 19:14:32 : 30.json transferred
2023-12-20 19:14:32 : 24.json transferred
2023-12-20 19:14:33 : 37.json transferred
2023-12-20 19:14:33 : 09.json transferred
2023-12-20 19:14:34 : 18.json transferred
2023-12-20 19:14:35 : 44.json transferred
2023-12-20 19:14:36 : 56.json transferred
2023-12-20 19:14:36 : 19.json transferred
2023-12-20 19:14:37 : 50.json transferred
2023-12-20 19:14:38 : 05.json transferred
2023-12-20 19:14:39 : 13.json transferred
2023-12-20 19:14:40 : 03.json transferred
2023-12-20 19:14:41 : 11.json transferred
2023-12-20 19:14:41 : 22.json transferred
2023-12-20 19:14:42 : 59.json transferred
2023-12-20 19:14:43 : 16.json transferred
2023-12-20 19:14:44 : 12.json transferred
2023-12-20 19:14:45 : 14.json transferred
2023-12-20 19:14:46 : 33.json transferred
2023-12-20 19:14:46 : 39.json transferred
2023-12-20 19:14:47 : 08.json transferred
2023-12-20 19:14:48 : 41.json transferred
2023-12-20 19:14:49 : 04.json transferred
2023-12-20 19:14:50 : 58.json transferred
2023-12-20 19:14:51 : 45.json transferred
2023-12-20 19:14:52 : 31.json transferred
2023-12-20 19:14:52 : 42.json transferred
2023-12-20 19:14:53 : 10.json transferred
2023-12-20 19:14:54 : 47.json transferred
2023-12-20 19:14:55 : 46.json transferred
2023-12-20 19:14:56 : 26.json transferred
2023-12-20 19:14:57 : 54.json transferred
2023-12-20 19:14:58 : 40.json transferred
2023-12-20 19:14:58 : 23.json transferred
2023-12-20 19:14:59 : 51.json transferred
2023-12-20 19:15:00 : 06.json transferred
2023-12-20 19:15:01 : 32.json transferred
2023-12-20 19:15:02 : 53.json transferred
2023-12-20 19:15:03 : 52.json transferred
2023-12-20 19:15:03 : 48.json transferred
2023-12-20 19:15:04 : 17.json transferred
2023-12-20 19:15:05 : 00.json transferred
2023-12-20 19:15:06 : 25.json transferred
2023-12-20 19:15:07 : 20.json transferred
2023-12-20 19:15:08 : 28.json transferred
2023-12-20 19:15:08 : 02.json transferred
2023-12-20 19:15:09 : 43.json transferred
2023-12-20 19:15:10 : 34.json transferred
2023-12-20 19:15:11 : 27.json transferred
2023-12-20 19:15:12 : 55.json transferred
2023-12-20 19:15:13 : 36.json transferred
2023-12-20 19:15:13 : 38.json transferred
