Output directory successfully created.
Output directory successfully created.
2023-12-14 21:45:09 : Downloading twitter_stream_2019_01_28.tar
2023-12-14 21:45:33 : Extracting twitter_stream_2019_01_28.tar
2023-12-14 21:46:19 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_01_28.tar
2023-12-14 21:46:20 : 49.json.bz2 transferred
2023-12-14 21:46:21 : 56.json.bz2 transferred
2023-12-14 21:46:22 : 16.json.bz2 transferred
2023-12-14 21:46:22 : 02.json.bz2 transferred
2023-12-14 21:46:23 : 06.json.bz2 transferred
2023-12-14 21:46:24 : 28.json.bz2 transferred
2023-12-14 21:46:24 : 26.json.bz2 transferred
2023-12-14 21:46:25 : 51.json.bz2 transferred
2023-12-14 21:46:26 : 29.json.bz2 transferred
2023-12-14 21:46:26 : 08.json.bz2 transferred
2023-12-14 21:46:27 : 57.json.bz2 transferred
2023-12-14 21:46:28 : 12.json.bz2 transferred
2023-12-14 21:46:28 : 59.json.bz2 transferred
2023-12-14 21:46:29 : 38.json.bz2 transferred
2023-12-14 21:46:30 : 34.json.bz2 transferred
2023-12-14 21:46:30 : 55.json.bz2 transferred
2023-12-14 21:46:31 : 13.json.bz2 transferred
2023-12-14 21:46:32 : 22.json.bz2 transferred
2023-12-14 21:46:32 : 18.json.bz2 transferred
2023-12-14 21:46:33 : 04.json.bz2 transferred
2023-12-14 21:46:34 : 05.json.bz2 transferred
2023-12-14 21:46:34 : 20.json.bz2 transferred
2023-12-14 21:46:35 : 43.json.bz2 transferred
2023-12-14 21:46:36 : 36.json.bz2 transferred
2023-12-14 21:46:36 : 19.json.bz2 transferred
2023-12-14 21:46:37 : 48.json.bz2 transferred
2023-12-14 21:46:38 : 58.json.bz2 transferred
2023-12-14 21:46:38 : 32.json.bz2 transferred
2023-12-14 21:46:39 : 39.json.bz2 transferred
2023-12-14 21:46:40 : 01.json.bz2 transferred
2023-12-14 21:46:40 : 31.json.bz2 transferred
2023-12-14 21:46:41 : 23.json.bz2 transferred
2023-12-14 21:46:41 : 40.json.bz2 transferred
2023-12-14 21:46:42 : 54.json.bz2 transferred
2023-12-14 21:46:43 : 07.json.bz2 transferred
2023-12-14 21:46:43 : 45.json.bz2 transferred
2023-12-14 21:46:44 : 53.json.bz2 transferred
2023-12-14 21:46:45 : 46.json.bz2 transferred
2023-12-14 21:46:45 : 11.json.bz2 transferred
2023-12-14 21:46:46 : 24.json.bz2 transferred
2023-12-14 21:46:47 : 44.json.bz2 transferred
2023-12-14 21:46:47 : 00.json.bz2 transferred
2023-12-14 21:46:48 : 50.json.bz2 transferred
2023-12-14 21:46:49 : 41.json.bz2 transferred
2023-12-14 21:46:49 : 14.json.bz2 transferred
2023-12-14 21:46:50 : 35.json.bz2 transferred
2023-12-14 21:46:51 : 15.json.bz2 transferred
2023-12-14 21:46:51 : 10.json.bz2 transferred
2023-12-14 21:46:52 : 25.json.bz2 transferred
2023-12-14 21:46:53 : 37.json.bz2 transferred
2023-12-14 21:46:53 : 03.json.bz2 transferred
2023-12-14 21:46:54 : 17.json.bz2 transferred
2023-12-14 21:46:55 : 27.json.bz2 transferred
2023-12-14 21:46:55 : 09.json.bz2 transferred
2023-12-14 21:46:56 : 30.json.bz2 transferred
2023-12-14 21:46:57 : 33.json.bz2 transferred
2023-12-14 21:46:57 : 21.json.bz2 transferred
2023-12-14 21:46:58 : 42.json.bz2 transferred
2023-12-14 21:46:59 : 52.json.bz2 transferred
2023-12-14 21:46:59 : 47.json.bz2 transferred
2023-12-14 21:47:00 : 49.json.bz2 transferred
2023-12-14 21:47:01 : 56.json.bz2 transferred
2023-12-14 21:47:01 : 51.json.bz2 transferred
2023-12-14 21:47:01 : 29.json.bz2 transferred
2023-12-14 21:47:02 : 57.json.bz2 transferred
2023-12-14 21:47:02 : 59.json.bz2 transferred
2023-12-14 21:47:03 : 38.json.bz2 transferred
2023-12-14 21:47:03 : 34.json.bz2 transferred
2023-12-14 21:47:04 : 55.json.bz2 transferred
2023-12-14 21:47:05 : 43.json.bz2 transferred
2023-12-14 21:47:05 : 36.json.bz2 transferred
2023-12-14 21:47:06 : 48.json.bz2 transferred
2023-12-14 21:47:06 : 58.json.bz2 transferred
2023-12-14 21:47:07 : 32.json.bz2 transferred
2023-12-14 21:47:07 : 39.json.bz2 transferred
2023-12-14 21:47:07 : 31.json.bz2 transferred
2023-12-14 21:47:08 : 40.json.bz2 transferred
2023-12-14 21:47:09 : 54.json.bz2 transferred
2023-12-14 21:47:09 : 45.json.bz2 transferred
2023-12-14 21:47:10 : 53.json.bz2 transferred
2023-12-14 21:47:10 : 46.json.bz2 transferred
2023-12-14 21:47:11 : 44.json.bz2 transferred
2023-12-14 21:47:11 : 50.json.bz2 transferred
2023-12-14 21:47:11 : 41.json.bz2 transferred
2023-12-14 21:47:12 : 35.json.bz2 transferred
2023-12-14 21:47:13 : 37.json.bz2 transferred
2023-12-14 21:47:13 : 30.json.bz2 transferred
2023-12-14 21:47:14 : 33.json.bz2 transferred
2023-12-14 21:47:14 : 42.json.bz2 transferred
2023-12-14 21:47:15 : 52.json.bz2 transferred
2023-12-14 21:47:15 : 47.json.bz2 transferred
2023-12-14 21:47:16 : 49.json.bz2 transferred
2023-12-14 21:47:17 : 56.json.bz2 transferred
2023-12-14 21:47:18 : 16.json.bz2 transferred
2023-12-14 21:47:19 : 02.json.bz2 transferred
2023-12-14 21:47:19 : 06.json.bz2 transferred
2023-12-14 21:47:20 : 28.json.bz2 transferred
2023-12-14 21:47:21 : 26.json.bz2 transferred
2023-12-14 21:47:22 : 51.json.bz2 transferred
2023-12-14 21:47:23 : 29.json.bz2 transferred
2023-12-14 21:47:24 : 08.json.bz2 transferred
2023-12-14 21:47:25 : 57.json.bz2 transferred
2023-12-14 21:47:26 : 12.json.bz2 transferred
2023-12-14 21:47:26 : 59.json.bz2 transferred
2023-12-14 21:47:27 : 38.json.bz2 transferred
2023-12-14 21:47:28 : 34.json.bz2 transferred
2023-12-14 21:47:29 : 55.json.bz2 transferred
2023-12-14 21:47:30 : 13.json.bz2 transferred
2023-12-14 21:47:31 : 22.json.bz2 transferred
2023-12-14 21:47:31 : 18.json.bz2 transferred
2023-12-14 21:47:32 : 04.json.bz2 transferred
2023-12-14 21:47:33 : 05.json.bz2 transferred
2023-12-14 21:47:34 : 20.json.bz2 transferred
2023-12-14 21:47:35 : 43.json.bz2 transferred
2023-12-14 21:47:36 : 36.json.bz2 transferred
2023-12-14 21:47:37 : 19.json.bz2 transferred
2023-12-14 21:47:38 : 48.json.bz2 transferred
2023-12-14 21:47:38 : 58.json.bz2 transferred
2023-12-14 21:47:39 : 32.json.bz2 transferred
2023-12-14 21:47:40 : 39.json.bz2 transferred
2023-12-14 21:47:41 : 01.json.bz2 transferred
2023-12-14 21:47:42 : 31.json.bz2 transferred
2023-12-14 21:47:43 : 23.json.bz2 transferred
2023-12-14 21:47:44 : 40.json.bz2 transferred
2023-12-14 21:47:44 : 54.json.bz2 transferred
2023-12-14 21:47:45 : 07.json.bz2 transferred
2023-12-14 21:47:46 : 45.json.bz2 transferred
2023-12-14 21:47:52 : 53.json.bz2 transferred
2023-12-14 21:47:53 : 46.json.bz2 transferred
2023-12-14 21:47:54 : 11.json.bz2 transferred
2023-12-14 21:47:55 : 24.json.bz2 transferred
2023-12-14 21:47:55 : 44.json.bz2 transferred
2023-12-14 21:47:56 : 00.json.bz2 transferred
2023-12-14 21:47:57 : 50.json.bz2 transferred
2023-12-14 21:47:58 : 41.json.bz2 transferred
2023-12-14 21:47:59 : 14.json.bz2 transferred
2023-12-14 21:48:00 : 35.json.bz2 transferred
2023-12-14 21:48:01 : 15.json.bz2 transferred
2023-12-14 21:48:02 : 10.json.bz2 transferred
2023-12-14 21:48:03 : 25.json.bz2 transferred
2023-12-14 21:48:03 : 37.json.bz2 transferred
2023-12-14 21:48:04 : 03.json.bz2 transferred
2023-12-14 21:48:05 : 17.json.bz2 transferred
2023-12-14 21:48:06 : 27.json.bz2 transferred
2023-12-14 21:48:07 : 09.json.bz2 transferred
2023-12-14 21:48:08 : 30.json.bz2 transferred
2023-12-14 21:48:09 : 33.json.bz2 transferred
2023-12-14 21:48:09 : 21.json.bz2 transferred
2023-12-14 21:48:10 : 42.json.bz2 transferred
