Output directory successfully created.
Output directory successfully created.
2023-12-14 21:44:47 : Downloading twitter_stream_2019_01_10.tar
2023-12-14 21:45:15 : Extracting twitter_stream_2019_01_10.tar
2023-12-14 21:45:45 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_01_10.tar
2023-12-14 21:45:46 : 49.json.bz2 transferred
2023-12-14 21:45:47 : 56.json.bz2 transferred
2023-12-14 21:45:48 : 16.json.bz2 transferred
2023-12-14 21:45:49 : 02.json.bz2 transferred
2023-12-14 21:45:49 : 06.json.bz2 transferred
2023-12-14 21:45:50 : 28.json.bz2 transferred
2023-12-14 21:45:51 : 26.json.bz2 transferred
2023-12-14 21:45:51 : 51.json.bz2 transferred
2023-12-14 21:45:52 : 29.json.bz2 transferred
2023-12-14 21:45:53 : 08.json.bz2 transferred
2023-12-14 21:45:54 : 57.json.bz2 transferred
2023-12-14 21:45:54 : 12.json.bz2 transferred
2023-12-14 21:45:55 : 59.json.bz2 transferred
2023-12-14 21:45:55 : 38.json.bz2 transferred
2023-12-14 21:45:56 : 34.json.bz2 transferred
2023-12-14 21:45:57 : 55.json.bz2 transferred
2023-12-14 21:45:58 : 13.json.bz2 transferred
2023-12-14 21:45:58 : 22.json.bz2 transferred
2023-12-14 21:45:59 : 18.json.bz2 transferred
2023-12-14 21:46:00 : 04.json.bz2 transferred
2023-12-14 21:46:00 : 05.json.bz2 transferred
2023-12-14 21:46:01 : 20.json.bz2 transferred
2023-12-14 21:46:02 : 43.json.bz2 transferred
2023-12-14 21:46:03 : 36.json.bz2 transferred
2023-12-14 21:46:03 : 19.json.bz2 transferred
2023-12-14 21:46:04 : 48.json.bz2 transferred
2023-12-14 21:46:05 : 58.json.bz2 transferred
2023-12-14 21:46:05 : 32.json.bz2 transferred
2023-12-14 21:46:06 : 39.json.bz2 transferred
2023-12-14 21:46:07 : 01.json.bz2 transferred
2023-12-14 21:46:07 : 31.json.bz2 transferred
2023-12-14 21:46:08 : 23.json.bz2 transferred
2023-12-14 21:46:09 : 40.json.bz2 transferred
2023-12-14 21:46:09 : 54.json.bz2 transferred
2023-12-14 21:46:10 : 07.json.bz2 transferred
2023-12-14 21:46:11 : 45.json.bz2 transferred
2023-12-14 21:46:12 : 53.json.bz2 transferred
2023-12-14 21:46:12 : 46.json.bz2 transferred
2023-12-14 21:46:13 : 11.json.bz2 transferred
2023-12-14 21:46:14 : 24.json.bz2 transferred
2023-12-14 21:46:14 : 44.json.bz2 transferred
2023-12-14 21:46:15 : 00.json.bz2 transferred
2023-12-14 21:46:16 : 50.json.bz2 transferred
2023-12-14 21:46:16 : 41.json.bz2 transferred
2023-12-14 21:46:17 : 14.json.bz2 transferred
2023-12-14 21:46:18 : 35.json.bz2 transferred
2023-12-14 21:46:18 : 15.json.bz2 transferred
2023-12-14 21:46:19 : 10.json.bz2 transferred
2023-12-14 21:46:20 : 25.json.bz2 transferred
2023-12-14 21:46:20 : 37.json.bz2 transferred
2023-12-14 21:46:21 : 03.json.bz2 transferred
2023-12-14 21:46:22 : 17.json.bz2 transferred
2023-12-14 21:46:22 : 27.json.bz2 transferred
2023-12-14 21:46:23 : 09.json.bz2 transferred
2023-12-14 21:46:24 : 30.json.bz2 transferred
2023-12-14 21:46:25 : 33.json.bz2 transferred
2023-12-14 21:46:25 : 21.json.bz2 transferred
2023-12-14 21:46:26 : 42.json.bz2 transferred
2023-12-14 21:46:27 : 52.json.bz2 transferred
2023-12-14 21:46:27 : 47.json.bz2 transferred
2023-12-14 21:46:28 : 49.json.bz2 transferred
2023-12-14 21:46:28 : 56.json.bz2 transferred
2023-12-14 21:46:29 : 51.json.bz2 transferred
2023-12-14 21:46:29 : 29.json.bz2 transferred
2023-12-14 21:46:30 : 57.json.bz2 transferred
2023-12-14 21:46:30 : 59.json.bz2 transferred
2023-12-14 21:46:31 : 38.json.bz2 transferred
2023-12-14 21:46:31 : 34.json.bz2 transferred
2023-12-14 21:46:32 : 55.json.bz2 transferred
2023-12-14 21:46:32 : 43.json.bz2 transferred
2023-12-14 21:46:33 : 36.json.bz2 transferred
2023-12-14 21:46:33 : 48.json.bz2 transferred
2023-12-14 21:46:34 : 58.json.bz2 transferred
2023-12-14 21:46:35 : 32.json.bz2 transferred
2023-12-14 21:46:35 : 39.json.bz2 transferred
2023-12-14 21:46:36 : 31.json.bz2 transferred
2023-12-14 21:46:36 : 40.json.bz2 transferred
2023-12-14 21:46:37 : 54.json.bz2 transferred
2023-12-14 21:46:37 : 45.json.bz2 transferred
2023-12-14 21:46:38 : 53.json.bz2 transferred
2023-12-14 21:46:38 : 46.json.bz2 transferred
2023-12-14 21:46:39 : 44.json.bz2 transferred
2023-12-14 21:46:39 : 50.json.bz2 transferred
2023-12-14 21:46:40 : 41.json.bz2 transferred
2023-12-14 21:46:40 : 35.json.bz2 transferred
2023-12-14 21:46:41 : 37.json.bz2 transferred
2023-12-14 21:46:41 : 30.json.bz2 transferred
2023-12-14 21:46:42 : 33.json.bz2 transferred
2023-12-14 21:46:42 : 42.json.bz2 transferred
2023-12-14 21:46:43 : 52.json.bz2 transferred
2023-12-14 21:46:44 : 47.json.bz2 transferred
2023-12-14 21:46:44 : 49.json.bz2 transferred
2023-12-14 21:46:45 : 56.json.bz2 transferred
2023-12-14 21:46:46 : 16.json.bz2 transferred
2023-12-14 21:46:47 : 02.json.bz2 transferred
2023-12-14 21:46:48 : 06.json.bz2 transferred
2023-12-14 21:46:49 : 28.json.bz2 transferred
2023-12-14 21:46:50 : 26.json.bz2 transferred
2023-12-14 21:46:51 : 51.json.bz2 transferred
2023-12-14 21:46:52 : 29.json.bz2 transferred
2023-12-14 21:46:53 : 08.json.bz2 transferred
2023-12-14 21:46:54 : 57.json.bz2 transferred
2023-12-14 21:46:55 : 12.json.bz2 transferred
2023-12-14 21:46:56 : 59.json.bz2 transferred
2023-12-14 21:46:57 : 38.json.bz2 transferred
2023-12-14 21:46:58 : 34.json.bz2 transferred
2023-12-14 21:46:59 : 55.json.bz2 transferred
2023-12-14 21:47:00 : 13.json.bz2 transferred
2023-12-14 21:47:00 : 22.json.bz2 transferred
2023-12-14 21:47:01 : 18.json.bz2 transferred
2023-12-14 21:47:02 : 04.json.bz2 transferred
2023-12-14 21:47:03 : 05.json.bz2 transferred
2023-12-14 21:47:04 : 20.json.bz2 transferred
2023-12-14 21:47:05 : 43.json.bz2 transferred
2023-12-14 21:47:06 : 36.json.bz2 transferred
2023-12-14 21:47:07 : 19.json.bz2 transferred
2023-12-14 21:47:08 : 48.json.bz2 transferred
2023-12-14 21:47:09 : 58.json.bz2 transferred
2023-12-14 21:47:10 : 32.json.bz2 transferred
2023-12-14 21:47:11 : 39.json.bz2 transferred
2023-12-14 21:47:12 : 01.json.bz2 transferred
2023-12-14 21:47:13 : 31.json.bz2 transferred
2023-12-14 21:47:14 : 23.json.bz2 transferred
2023-12-14 21:47:14 : 40.json.bz2 transferred
2023-12-14 21:47:15 : 54.json.bz2 transferred
2023-12-14 21:47:16 : 07.json.bz2 transferred
2023-12-14 21:47:17 : 45.json.bz2 transferred
2023-12-14 21:47:18 : 53.json.bz2 transferred
2023-12-14 21:47:19 : 46.json.bz2 transferred
2023-12-14 21:47:20 : 11.json.bz2 transferred
2023-12-14 21:47:20 : 24.json.bz2 transferred
2023-12-14 21:47:21 : 44.json.bz2 transferred
2023-12-14 21:47:22 : 00.json.bz2 transferred
2023-12-14 21:47:23 : 50.json.bz2 transferred
2023-12-14 21:47:24 : 41.json.bz2 transferred
2023-12-14 21:47:25 : 14.json.bz2 transferred
2023-12-14 21:47:26 : 35.json.bz2 transferred
2023-12-14 21:47:27 : 15.json.bz2 transferred
2023-12-14 21:47:28 : 10.json.bz2 transferred
2023-12-14 21:47:29 : 25.json.bz2 transferred
2023-12-14 21:47:30 : 37.json.bz2 transferred
2023-12-14 21:47:31 : 03.json.bz2 transferred
2023-12-14 21:47:32 : 17.json.bz2 transferred
2023-12-14 21:47:33 : 27.json.bz2 transferred
2023-12-14 21:47:34 : 09.json.bz2 transferred
2023-12-14 21:47:35 : 30.json.bz2 transferred
2023-12-14 21:47:36 : 33.json.bz2 transferred
2023-12-14 21:47:37 : 21.json.bz2 transferred
2023-12-14 21:47:38 : 42.json.bz2 transferred
2023-12-14 21:47:38 : 52.json.bz2 transferred
2023-12-14 21:47:39 : 47.json.bz2 transferred
2023-12-14 21:47:40 : 49.json.bz2 transferred
2023-12-14 21:47:41 : 56.json.bz2 transferred
2023-12-14 21:47:42 : 16.json.bz2 transferred
2023-12-14 21:47:43 : 02.json.bz2 transferred
2023-12-14 21:47:44 : 06.json.bz2 transferred
2023-12-14 21:47:45 : 28.json.bz2 transferred
2023-12-14 21:47:46 : 26.json.bz2 transferred
2023-12-14 21:47:47 : 51.json.bz2 transferred
2023-12-14 21:47:47 : 29.json.bz2 transferred
2023-12-14 21:47:48 : 08.json.bz2 transferred
2023-12-14 21:47:49 : 57.json.bz2 transferred
2023-12-14 21:47:50 : 12.json.bz2 transferred
2023-12-14 21:47:51 : 59.json.bz2 transferred
2023-12-14 21:47:51 : 38.json.bz2 transferred
2023-12-14 21:47:52 : 34.json.bz2 transferred
2023-12-14 21:47:53 : 55.json.bz2 transferred
2023-12-14 21:47:54 : 13.json.bz2 transferred
2023-12-14 21:47:55 : 22.json.bz2 transferred
2023-12-14 21:47:56 : 18.json.bz2 transferred
2023-12-14 21:47:57 : 04.json.bz2 transferred
2023-12-14 21:47:58 : 05.json.bz2 transferred
2023-12-14 21:47:58 : 20.json.bz2 transferred
2023-12-14 21:47:59 : 43.json.bz2 transferred
2023-12-14 21:48:00 : 36.json.bz2 transferred
2023-12-14 21:48:01 : 19.json.bz2 transferred
2023-12-14 21:48:02 : 48.json.bz2 transferred
2023-12-14 21:48:02 : 58.json.bz2 transferred
2023-12-14 21:48:03 : 32.json.bz2 transferred
2023-12-14 21:48:04 : 39.json.bz2 transferred
2023-12-14 21:48:06 : 01.json.bz2 transferred
2023-12-14 21:48:07 : 31.json.bz2 transferred
2023-12-14 21:48:08 : 23.json.bz2 transferred
2023-12-14 21:48:09 : 40.json.bz2 transferred
2023-12-14 21:48:10 : 54.json.bz2 transferred
2023-12-14 21:48:11 : 07.json.bz2 transferred
2023-12-14 21:48:11 : 45.json.bz2 transferred
2023-12-14 21:48:12 : 53.json.bz2 transferred
2023-12-14 21:48:13 : 46.json.bz2 transferred
2023-12-14 21:48:14 : 11.json.bz2 transferred
2023-12-14 21:48:15 : 24.json.bz2 transferred
2023-12-14 21:48:15 : 44.json.bz2 transferred
2023-12-14 21:48:16 : 00.json.bz2 transferred
2023-12-14 21:48:17 : 50.json.bz2 transferred
2023-12-14 21:48:18 : 41.json.bz2 transferred
2023-12-14 21:48:19 : 14.json.bz2 transferred
2023-12-14 21:48:20 : 35.json.bz2 transferred
2023-12-14 21:48:21 : 15.json.bz2 transferred
2023-12-14 21:48:21 : 10.json.bz2 transferred
