Output directory successfully created.
Output directory successfully created.
2023-12-14 21:44:53 : Downloading twitter_stream_2019_01_01.tar
2023-12-14 21:45:19 : Extracting twitter_stream_2019_01_01.tar
2023-12-14 21:45:47 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_01_01.tar
2023-12-14 21:45:47 : 49.json.bz2 transferred
2023-12-14 21:45:48 : 56.json.bz2 transferred
2023-12-14 21:45:49 : 16.json.bz2 transferred
2023-12-14 21:45:49 : 02.json.bz2 transferred
2023-12-14 21:45:50 : 06.json.bz2 transferred
2023-12-14 21:45:51 : 28.json.bz2 transferred
2023-12-14 21:45:51 : 26.json.bz2 transferred
2023-12-14 21:45:52 : 51.json.bz2 transferred
2023-12-14 21:45:52 : 29.json.bz2 transferred
2023-12-14 21:45:53 : 08.json.bz2 transferred
2023-12-14 21:45:54 : 57.json.bz2 transferred
2023-12-14 21:45:54 : 12.json.bz2 transferred
2023-12-14 21:45:55 : 59.json.bz2 transferred
2023-12-14 21:45:55 : 38.json.bz2 transferred
2023-12-14 21:45:56 : 34.json.bz2 transferred
2023-12-14 21:45:57 : 55.json.bz2 transferred
2023-12-14 21:45:57 : 13.json.bz2 transferred
2023-12-14 21:45:58 : 22.json.bz2 transferred
2023-12-14 21:45:58 : 18.json.bz2 transferred
2023-12-14 21:45:59 : 04.json.bz2 transferred
2023-12-14 21:46:00 : 05.json.bz2 transferred
2023-12-14 21:46:00 : 20.json.bz2 transferred
2023-12-14 21:46:01 : 43.json.bz2 transferred
2023-12-14 21:46:01 : 36.json.bz2 transferred
2023-12-14 21:46:02 : 19.json.bz2 transferred
2023-12-14 21:46:03 : 48.json.bz2 transferred
2023-12-14 21:46:04 : 58.json.bz2 transferred
2023-12-14 21:46:04 : 32.json.bz2 transferred
2023-12-14 21:46:05 : 39.json.bz2 transferred
2023-12-14 21:46:06 : 01.json.bz2 transferred
2023-12-14 21:46:06 : 31.json.bz2 transferred
2023-12-14 21:46:07 : 23.json.bz2 transferred
2023-12-14 21:46:07 : 40.json.bz2 transferred
2023-12-14 21:46:08 : 54.json.bz2 transferred
2023-12-14 21:46:09 : 07.json.bz2 transferred
2023-12-14 21:46:09 : 45.json.bz2 transferred
2023-12-14 21:46:10 : 53.json.bz2 transferred
2023-12-14 21:46:11 : 46.json.bz2 transferred
2023-12-14 21:46:11 : 11.json.bz2 transferred
2023-12-14 21:46:12 : 24.json.bz2 transferred
2023-12-14 21:46:12 : 44.json.bz2 transferred
2023-12-14 21:46:13 : 00.json.bz2 transferred
2023-12-14 21:46:14 : 50.json.bz2 transferred
2023-12-14 21:46:14 : 41.json.bz2 transferred
2023-12-14 21:46:15 : 14.json.bz2 transferred
2023-12-14 21:46:15 : 35.json.bz2 transferred
2023-12-14 21:46:17 : 15.json.bz2 transferred
2023-12-14 21:46:17 : 10.json.bz2 transferred
2023-12-14 21:46:18 : 25.json.bz2 transferred
2023-12-14 21:46:19 : 37.json.bz2 transferred
2023-12-14 21:46:19 : 03.json.bz2 transferred
2023-12-14 21:46:20 : 17.json.bz2 transferred
2023-12-14 21:46:21 : 27.json.bz2 transferred
