Output directory successfully created.
Output directory successfully created.
2023-12-20 19:12:01 : Downloading twitter_stream_2019_02_28.tar
2023-12-20 19:12:31 : Extracting twitter_stream_2019_02_28.tar
2023-12-20 19:13:02 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_28.tar
2023-12-20 19:13:03 : 44.json transferred
2023-12-20 19:13:03 : 56.json transferred
2023-12-20 19:13:04 : 19.json transferred
2023-12-20 19:13:05 : 50.json transferred
2023-12-20 19:13:05 : 05.json transferred
2023-12-20 19:13:06 : 13.json transferred
2023-12-20 19:13:06 : 03.json transferred
2023-12-20 19:13:07 : 11.json transferred
2023-12-20 19:13:08 : 22.json transferred
2023-12-20 19:13:08 : 59.json transferred
2023-12-20 19:13:09 : 16.json transferred
2023-12-20 19:13:10 : 12.json transferred
2023-12-20 19:13:10 : 14.json transferred
2023-12-20 19:13:11 : 33.json transferred
2023-12-20 19:13:11 : 39.json transferred
2023-12-20 19:13:12 : 08.json transferred
2023-12-20 19:13:13 : 41.json transferred
2023-12-20 19:13:13 : 04.json transferred
2023-12-20 19:13:14 : 58.json transferred
2023-12-20 19:13:14 : 45.json transferred
2023-12-20 19:13:15 : 31.json transferred
2023-12-20 19:13:16 : 42.json transferred
2023-12-20 19:13:16 : 10.json transferred
2023-12-20 19:13:17 : 47.json transferred
2023-12-20 19:13:17 : 46.json transferred
2023-12-20 19:13:18 : 26.json transferred
2023-12-20 19:13:18 : 54.json transferred
2023-12-20 19:13:19 : 40.json transferred
2023-12-20 19:13:20 : 23.json transferred
2023-12-20 19:13:20 : 51.json transferred
2023-12-20 19:13:21 : 06.json transferred
2023-12-20 19:13:21 : 32.json transferred
2023-12-20 19:13:22 : 53.json transferred
2023-12-20 19:13:23 : 52.json transferred
2023-12-20 19:13:23 : 48.json transferred
2023-12-20 19:13:24 : 17.json transferred
2023-12-20 19:13:24 : 00.json transferred
2023-12-20 19:13:25 : 25.json transferred
2023-12-20 19:13:25 : 20.json transferred
2023-12-20 19:13:26 : 28.json transferred
2023-12-20 19:13:27 : 02.json transferred
2023-12-20 19:13:27 : 43.json transferred
2023-12-20 19:13:28 : 34.json transferred
2023-12-20 19:13:28 : 27.json transferred
2023-12-20 19:13:29 : 55.json transferred
2023-12-20 19:13:29 : 36.json transferred
2023-12-20 19:13:30 : 38.json transferred
2023-12-20 19:13:31 : 49.json transferred
2023-12-20 19:13:31 : 35.json transferred
2023-12-20 19:13:32 : 07.json transferred
2023-12-20 19:13:32 : 01.json transferred
2023-12-20 19:13:33 : 21.json transferred
2023-12-20 19:13:34 : 57.json transferred
2023-12-20 19:13:34 : 15.json transferred
2023-12-20 19:13:35 : 29.json transferred
2023-12-20 19:13:35 : 30.json transferred
2023-12-20 19:13:36 : 24.json transferred
2023-12-20 19:13:36 : 37.json transferred
2023-12-20 19:13:37 : 09.json transferred
2023-12-20 19:13:38 : 18.json transferred
2023-12-20 19:13:38 : 44.json transferred
2023-12-20 19:13:39 : 56.json transferred
2023-12-20 19:13:39 : 19.json transferred
2023-12-20 19:13:40 : 50.json transferred
2023-12-20 19:13:40 : 05.json transferred
2023-12-20 19:13:41 : 13.json transferred
2023-12-20 19:13:42 : 03.json transferred
2023-12-20 19:13:42 : 11.json transferred
2023-12-20 19:13:43 : 22.json transferred
2023-12-20 19:13:43 : 59.json transferred
2023-12-20 19:13:44 : 16.json transferred
2023-12-20 19:13:44 : 12.json transferred
2023-12-20 19:13:45 : 14.json transferred
2023-12-20 19:13:46 : 33.json transferred
2023-12-20 19:13:46 : 39.json transferred
2023-12-20 19:13:47 : 08.json transferred
2023-12-20 19:13:47 : 41.json transferred
2023-12-20 19:13:48 : 04.json transferred
2023-12-20 19:13:48 : 58.json transferred
2023-12-20 19:13:49 : 45.json transferred
2023-12-20 19:13:49 : 31.json transferred
2023-12-20 19:13:50 : 42.json transferred
2023-12-20 19:13:50 : 10.json transferred
2023-12-20 19:13:51 : 47.json transferred
2023-12-20 19:13:51 : 46.json transferred
2023-12-20 19:13:52 : 26.json transferred
2023-12-20 19:13:53 : 54.json transferred
2023-12-20 19:13:53 : 40.json transferred
2023-12-20 19:13:54 : 23.json transferred
2023-12-20 19:13:54 : 51.json transferred
2023-12-20 19:13:55 : 06.json transferred
2023-12-20 19:13:55 : 32.json transferred
2023-12-20 19:13:56 : 53.json transferred
2023-12-20 19:13:56 : 52.json transferred
2023-12-20 19:13:57 : 48.json transferred
2023-12-20 19:13:58 : 17.json transferred
2023-12-20 19:13:58 : 00.json transferred
2023-12-20 19:13:59 : 25.json transferred
2023-12-20 19:13:59 : 20.json transferred
2023-12-20 19:14:00 : 28.json transferred
2023-12-20 19:14:01 : 02.json transferred
2023-12-20 19:14:01 : 43.json transferred
2023-12-20 19:14:02 : 34.json transferred
2023-12-20 19:14:02 : 27.json transferred
2023-12-20 19:14:04 : 55.json transferred
2023-12-20 19:14:04 : 36.json transferred
2023-12-20 19:14:05 : 38.json transferred
2023-12-20 19:14:05 : 49.json transferred
2023-12-20 19:14:06 : 35.json transferred
2023-12-20 19:14:06 : 07.json transferred
2023-12-20 19:14:07 : 01.json transferred
2023-12-20 19:14:07 : 21.json transferred
2023-12-20 19:14:08 : 57.json transferred
2023-12-20 19:14:08 : 15.json transferred
2023-12-20 19:14:09 : 29.json transferred
2023-12-20 19:14:10 : 30.json transferred
2023-12-20 19:14:10 : 24.json transferred
2023-12-20 19:14:11 : 37.json transferred
2023-12-20 19:14:11 : 09.json transferred
2023-12-20 19:14:12 : 18.json transferred
2023-12-20 19:14:13 : 44.json transferred
2023-12-20 19:14:14 : 56.json transferred
2023-12-20 19:14:14 : 19.json transferred
2023-12-20 19:14:15 : 50.json transferred
2023-12-20 19:14:16 : 05.json transferred
2023-12-20 19:14:17 : 13.json transferred
2023-12-20 19:14:18 : 03.json transferred
2023-12-20 19:14:19 : 11.json transferred
2023-12-20 19:14:20 : 22.json transferred
