Output directory successfully created.
Output directory successfully created.
2023-12-20 19:11:55 : Downloading twitter_stream_2019_02_13.tar
2023-12-20 19:12:25 : Extracting twitter_stream_2019_02_13.tar
2023-12-20 19:12:56 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_13.tar
2023-12-20 19:12:57 : 44.json transferred
2023-12-20 19:12:58 : 56.json transferred
2023-12-20 19:12:58 : 19.json transferred
2023-12-20 19:12:59 : 50.json transferred
2023-12-20 19:12:59 : 05.json transferred
2023-12-20 19:13:00 : 13.json transferred
2023-12-20 19:13:01 : 03.json transferred
2023-12-20 19:13:01 : 11.json transferred
2023-12-20 19:13:02 : 22.json transferred
2023-12-20 19:13:03 : 59.json transferred
2023-12-20 19:13:03 : 16.json transferred
2023-12-20 19:13:04 : 12.json transferred
2023-12-20 19:13:04 : 14.json transferred
2023-12-20 19:13:05 : 33.json transferred
2023-12-20 19:13:05 : 39.json transferred
2023-12-20 19:13:06 : 08.json transferred
2023-12-20 19:13:07 : 41.json transferred
2023-12-20 19:13:07 : 04.json transferred
2023-12-20 19:13:08 : 58.json transferred
2023-12-20 19:13:09 : 45.json transferred
2023-12-20 19:13:09 : 31.json transferred
2023-12-20 19:13:10 : 42.json transferred
2023-12-20 19:13:10 : 10.json transferred
2023-12-20 19:13:11 : 47.json transferred
2023-12-20 19:13:12 : 46.json transferred
2023-12-20 19:13:12 : 26.json transferred
2023-12-20 19:13:13 : 54.json transferred
2023-12-20 19:13:13 : 40.json transferred
2023-12-20 19:13:14 : 23.json transferred
2023-12-20 19:13:15 : 51.json transferred
2023-12-20 19:13:15 : 06.json transferred
2023-12-20 19:13:16 : 32.json transferred
2023-12-20 19:13:16 : 53.json transferred
2023-12-20 19:13:17 : 52.json transferred
2023-12-20 19:13:18 : 48.json transferred
2023-12-20 19:13:18 : 17.json transferred
2023-12-20 19:13:19 : 00.json transferred
2023-12-20 19:13:19 : 25.json transferred
2023-12-20 19:13:20 : 20.json transferred
2023-12-20 19:13:21 : 28.json transferred
2023-12-20 19:13:21 : 02.json transferred
2023-12-20 19:13:22 : 43.json transferred
2023-12-20 19:13:22 : 34.json transferred
2023-12-20 19:13:23 : 27.json transferred
2023-12-20 19:13:24 : 55.json transferred
2023-12-20 19:13:24 : 36.json transferred
2023-12-20 19:13:25 : 38.json transferred
2023-12-20 19:13:25 : 49.json transferred
2023-12-20 19:13:26 : 35.json transferred
2023-12-20 19:13:27 : 07.json transferred
2023-12-20 19:13:27 : 01.json transferred
2023-12-20 19:13:28 : 21.json transferred
2023-12-20 19:13:28 : 57.json transferred
2023-12-20 19:13:29 : 15.json transferred
2023-12-20 19:13:29 : 29.json transferred
2023-12-20 19:13:30 : 30.json transferred
2023-12-20 19:13:31 : 24.json transferred
2023-12-20 19:13:31 : 37.json transferred
2023-12-20 19:13:32 : 09.json transferred
2023-12-20 19:13:32 : 18.json transferred
2023-12-20 19:13:33 : 44.json transferred
2023-12-20 19:13:34 : 56.json transferred
2023-12-20 19:13:34 : 19.json transferred
2023-12-20 19:13:35 : 50.json transferred
2023-12-20 19:13:35 : 05.json transferred
2023-12-20 19:13:36 : 13.json transferred
2023-12-20 19:13:36 : 03.json transferred
2023-12-20 19:13:37 : 11.json transferred
2023-12-20 19:13:38 : 22.json transferred
2023-12-20 19:13:38 : 59.json transferred
2023-12-20 19:13:39 : 16.json transferred
2023-12-20 19:13:39 : 12.json transferred
2023-12-20 19:13:40 : 14.json transferred
2023-12-20 19:13:40 : 33.json transferred
2023-12-20 19:13:41 : 39.json transferred
2023-12-20 19:13:42 : 08.json transferred
2023-12-20 19:13:42 : 41.json transferred
2023-12-20 19:13:43 : 04.json transferred
2023-12-20 19:13:43 : 58.json transferred
2023-12-20 19:13:44 : 45.json transferred
2023-12-20 19:13:44 : 31.json transferred
2023-12-20 19:13:45 : 42.json transferred
2023-12-20 19:13:46 : 10.json transferred
2023-12-20 19:13:46 : 47.json transferred
2023-12-20 19:13:47 : 46.json transferred
2023-12-20 19:13:47 : 26.json transferred
2023-12-20 19:13:48 : 54.json transferred
2023-12-20 19:13:48 : 40.json transferred
2023-12-20 19:13:49 : 23.json transferred
2023-12-20 19:13:49 : 51.json transferred
2023-12-20 19:13:50 : 06.json transferred
2023-12-20 19:13:51 : 32.json transferred
2023-12-20 19:13:51 : 53.json transferred
2023-12-20 19:13:52 : 52.json transferred
2023-12-20 19:13:52 : 48.json transferred
2023-12-20 19:13:53 : 17.json transferred
2023-12-20 19:13:53 : 00.json transferred
2023-12-20 19:13:54 : 25.json transferred
2023-12-20 19:13:55 : 20.json transferred
2023-12-20 19:13:55 : 28.json transferred
2023-12-20 19:13:56 : 02.json transferred
2023-12-20 19:13:56 : 43.json transferred
2023-12-20 19:13:57 : 34.json transferred
2023-12-20 19:13:57 : 27.json transferred
2023-12-20 19:13:58 : 55.json transferred
2023-12-20 19:13:59 : 36.json transferred
2023-12-20 19:13:59 : 38.json transferred
2023-12-20 19:14:00 : 49.json transferred
2023-12-20 19:14:00 : 35.json transferred
2023-12-20 19:14:01 : 07.json transferred
2023-12-20 19:14:02 : 01.json transferred
2023-12-20 19:14:02 : 21.json transferred
2023-12-20 19:14:03 : 57.json transferred
2023-12-20 19:14:03 : 15.json transferred
2023-12-20 19:14:04 : 29.json transferred
2023-12-20 19:14:04 : 30.json transferred
2023-12-20 19:14:05 : 24.json transferred
2023-12-20 19:14:06 : 37.json transferred
2023-12-20 19:14:06 : 09.json transferred
2023-12-20 19:14:07 : 18.json transferred
2023-12-20 19:14:08 : 44.json transferred
2023-12-20 19:14:09 : 56.json transferred
2023-12-20 19:14:09 : 19.json transferred
2023-12-20 19:14:10 : 50.json transferred
2023-12-20 19:14:11 : 05.json transferred
2023-12-20 19:14:12 : 13.json transferred
2023-12-20 19:14:13 : 03.json transferred
2023-12-20 19:14:14 : 11.json transferred
2023-12-20 19:14:15 : 22.json transferred
2023-12-20 19:14:16 : 59.json transferred
2023-12-20 19:14:16 : 16.json transferred
2023-12-20 19:14:17 : 12.json transferred
2023-12-20 19:14:18 : 14.json transferred
2023-12-20 19:14:19 : 33.json transferred
2023-12-20 19:14:20 : 39.json transferred
2023-12-20 19:14:21 : 08.json transferred
2023-12-20 19:14:22 : 41.json transferred
2023-12-20 19:14:22 : 04.json transferred
2023-12-20 19:14:23 : 58.json transferred
2023-12-20 19:14:24 : 45.json transferred
2023-12-20 19:14:25 : 31.json transferred
2023-12-20 19:14:26 : 42.json transferred
2023-12-20 19:14:27 : 10.json transferred
2023-12-20 19:14:28 : 47.json transferred
2023-12-20 19:14:28 : 46.json transferred
2023-12-20 19:14:29 : 26.json transferred
2023-12-20 19:14:30 : 54.json transferred
2023-12-20 19:14:31 : 40.json transferred
2023-12-20 19:14:32 : 23.json transferred
2023-12-20 19:14:33 : 51.json transferred
2023-12-20 19:14:34 : 06.json transferred
2023-12-20 19:14:35 : 32.json transferred
2023-12-20 19:14:35 : 53.json transferred
2023-12-20 19:14:36 : 52.json transferred
2023-12-20 19:14:37 : 48.json transferred
2023-12-20 19:14:38 : 17.json transferred
2023-12-20 19:14:39 : 00.json transferred
2023-12-20 19:14:40 : 25.json transferred
2023-12-20 19:14:40 : 20.json transferred
2023-12-20 19:14:41 : 28.json transferred
2023-12-20 19:14:42 : 02.json transferred
2023-12-20 19:14:43 : 43.json transferred
2023-12-20 19:14:44 : 34.json transferred
2023-12-20 19:14:45 : 27.json transferred
2023-12-20 19:14:46 : 55.json transferred
2023-12-20 19:14:47 : 36.json transferred
2023-12-20 19:14:47 : 38.json transferred
2023-12-20 19:14:48 : 49.json transferred
2023-12-20 19:14:49 : 35.json transferred
2023-12-20 19:14:50 : 07.json transferred
2023-12-20 19:14:51 : 01.json transferred
2023-12-20 19:14:52 : 21.json transferred
2023-12-20 19:14:53 : 57.json transferred
2023-12-20 19:14:53 : 15.json transferred
2023-12-20 19:14:54 : 29.json transferred
2023-12-20 19:14:55 : 30.json transferred
2023-12-20 19:14:56 : 24.json transferred
2023-12-20 19:14:57 : 37.json transferred
2023-12-20 19:14:58 : 09.json transferred
2023-12-20 19:14:58 : 18.json transferred
2023-12-20 19:14:59 : 44.json transferred
2023-12-20 19:15:00 : 56.json transferred
2023-12-20 19:15:01 : 19.json transferred
2023-12-20 19:15:01 : 50.json transferred
2023-12-20 19:15:02 : 05.json transferred
2023-12-20 19:15:02 : 13.json transferred
2023-12-20 19:15:03 : 03.json transferred
2023-12-20 19:15:04 : 11.json transferred
2023-12-20 19:15:04 : 22.json transferred
2023-12-20 19:15:05 : 59.json transferred
2023-12-20 19:15:05 : 16.json transferred
2023-12-20 19:15:06 : 12.json transferred
2023-12-20 19:15:07 : 14.json transferred
2023-12-20 19:15:07 : 33.json transferred
2023-12-20 19:15:08 : 39.json transferred
2023-12-20 19:15:08 : 08.json transferred
2023-12-20 19:15:09 : 41.json transferred
2023-12-20 19:15:10 : 04.json transferred
2023-12-20 19:15:10 : 58.json transferred
2023-12-20 19:15:11 : 45.json transferred
2023-12-20 19:15:12 : 31.json transferred
2023-12-20 19:15:12 : 42.json transferred
2023-12-20 19:15:13 : 10.json transferred
2023-12-20 19:15:13 : 47.json transferred
2023-12-20 19:15:14 : 46.json transferred
2023-12-20 19:15:15 : 26.json transferred
2023-12-20 19:15:15 : 54.json transferred
2023-12-20 19:15:16 : 40.json transferred
2023-12-20 19:15:16 : 23.json transferred
2023-12-20 19:15:17 : 51.json transferred
2023-12-20 19:15:18 : 06.json transferred
2023-12-20 19:15:18 : 32.json transferred
2023-12-20 19:15:19 : 53.json transferred
2023-12-20 19:15:20 : 52.json transferred
2023-12-20 19:15:20 : 48.json transferred
2023-12-20 19:15:21 : 17.json transferred
2023-12-20 19:15:21 : 00.json transferred
2023-12-20 19:15:22 : 25.json transferred
