Output directory successfully created.
Output directory successfully created.
2023-12-20 19:11:54 : Downloading twitter_stream_2019_02_10.tar
2023-12-20 19:12:27 : Extracting twitter_stream_2019_02_10.tar
2023-12-20 19:13:01 : Extracting and transferring .bz2 files to S3 for twitter_stream_2019_02_10.tar
2023-12-20 19:13:02 : 44.json transferred
2023-12-20 19:13:02 : 56.json transferred
2023-12-20 19:13:03 : 19.json transferred
2023-12-20 19:13:04 : 50.json transferred
2023-12-20 19:13:05 : 05.json transferred
2023-12-20 19:13:05 : 13.json transferred
2023-12-20 19:13:06 : 03.json transferred
2023-12-20 19:13:07 : 11.json transferred
2023-12-20 19:13:07 : 22.json transferred
2023-12-20 19:13:08 : 59.json transferred
2023-12-20 19:13:09 : 16.json transferred
2023-12-20 19:13:09 : 12.json transferred
2023-12-20 19:13:10 : 14.json transferred
2023-12-20 19:13:11 : 33.json transferred
2023-12-20 19:13:11 : 39.json transferred
2023-12-20 19:13:12 : 08.json transferred
2023-12-20 19:13:12 : 41.json transferred
2023-12-20 19:13:13 : 04.json transferred
2023-12-20 19:13:14 : 58.json transferred
2023-12-20 19:13:14 : 45.json transferred
2023-12-20 19:13:15 : 31.json transferred
2023-12-20 19:13:16 : 42.json transferred
2023-12-20 19:13:17 : 10.json transferred
2023-12-20 19:13:17 : 47.json transferred
2023-12-20 19:13:18 : 46.json transferred
2023-12-20 19:13:18 : 26.json transferred
2023-12-20 19:13:19 : 54.json transferred
2023-12-20 19:13:20 : 40.json transferred
2023-12-20 19:13:20 : 23.json transferred
2023-12-20 19:13:21 : 51.json transferred
2023-12-20 19:13:22 : 06.json transferred
2023-12-20 19:13:22 : 32.json transferred
2023-12-20 19:13:23 : 53.json transferred
2023-12-20 19:13:23 : 52.json transferred
2023-12-20 19:13:24 : 48.json transferred
2023-12-20 19:13:25 : 17.json transferred
2023-12-20 19:13:25 : 00.json transferred
2023-12-20 19:13:26 : 25.json transferred
2023-12-20 19:13:27 : 20.json transferred
2023-12-20 19:13:27 : 28.json transferred
2023-12-20 19:13:28 : 02.json transferred
2023-12-20 19:13:29 : 43.json transferred
2023-12-20 19:13:29 : 34.json transferred
2023-12-20 19:13:30 : 27.json transferred
2023-12-20 19:13:30 : 55.json transferred
2023-12-20 19:13:31 : 36.json transferred
2023-12-20 19:13:32 : 38.json transferred
2023-12-20 19:13:32 : 49.json transferred
2023-12-20 19:13:33 : 35.json transferred
2023-12-20 19:13:34 : 07.json transferred
2023-12-20 19:13:34 : 01.json transferred
2023-12-20 19:13:35 : 21.json transferred
2023-12-20 19:13:36 : 57.json transferred
2023-12-20 19:13:36 : 15.json transferred
2023-12-20 19:13:37 : 29.json transferred
2023-12-20 19:13:37 : 30.json transferred
2023-12-20 19:13:38 : 24.json transferred
2023-12-20 19:13:39 : 37.json transferred
2023-12-20 19:13:39 : 09.json transferred
2023-12-20 19:13:40 : 18.json transferred
2023-12-20 19:13:41 : 44.json transferred
2023-12-20 19:13:41 : 56.json transferred
2023-12-20 19:13:42 : 19.json transferred
2023-12-20 19:13:42 : 50.json transferred
2023-12-20 19:13:43 : 05.json transferred
2023-12-20 19:13:44 : 13.json transferred
2023-12-20 19:13:45 : 03.json transferred
2023-12-20 19:13:45 : 11.json transferred
2023-12-20 19:13:46 : 22.json transferred
2023-12-20 19:13:47 : 59.json transferred
2023-12-20 19:13:47 : 16.json transferred
2023-12-20 19:13:48 : 12.json transferred
2023-12-20 19:13:49 : 14.json transferred
2023-12-20 19:13:49 : 33.json transferred
2023-12-20 19:13:50 : 39.json transferred
2023-12-20 19:13:51 : 08.json transferred
2023-12-20 19:13:51 : 41.json transferred
2023-12-20 19:13:52 : 04.json transferred
2023-12-20 19:13:53 : 58.json transferred
2023-12-20 19:13:53 : 45.json transferred
2023-12-20 19:13:54 : 31.json transferred
2023-12-20 19:13:55 : 42.json transferred
2023-12-20 19:13:56 : 10.json transferred
2023-12-20 19:13:56 : 47.json transferred
2023-12-20 19:13:57 : 46.json transferred
2023-12-20 19:13:58 : 26.json transferred
2023-12-20 19:13:58 : 54.json transferred
2023-12-20 19:13:59 : 40.json transferred
2023-12-20 19:14:00 : 23.json transferred
2023-12-20 19:14:00 : 51.json transferred
2023-12-20 19:14:01 : 06.json transferred
2023-12-20 19:14:02 : 32.json transferred
2023-12-20 19:14:02 : 53.json transferred
2023-12-20 19:14:03 : 52.json transferred
2023-12-20 19:14:04 : 48.json transferred
2023-12-20 19:14:04 : 17.json transferred
2023-12-20 19:14:05 : 00.json transferred
2023-12-20 19:14:06 : 25.json transferred
2023-12-20 19:14:06 : 20.json transferred
2023-12-20 19:14:07 : 28.json transferred
2023-12-20 19:14:08 : 02.json transferred
2023-12-20 19:14:09 : 43.json transferred
2023-12-20 19:14:09 : 34.json transferred
2023-12-20 19:14:10 : 27.json transferred
2023-12-20 19:14:11 : 55.json transferred
2023-12-20 19:14:11 : 36.json transferred
2023-12-20 19:14:12 : 38.json transferred
2023-12-20 19:14:13 : 49.json transferred
2023-12-20 19:14:14 : 35.json transferred
2023-12-20 19:14:14 : 07.json transferred
2023-12-20 19:14:15 : 01.json transferred
2023-12-20 19:14:16 : 21.json transferred
2023-12-20 19:14:16 : 57.json transferred
2023-12-20 19:14:17 : 15.json transferred
2023-12-20 19:14:18 : 29.json transferred
2023-12-20 19:14:18 : 30.json transferred
2023-12-20 19:14:19 : 24.json transferred
2023-12-20 19:14:20 : 37.json transferred
2023-12-20 19:14:20 : 09.json transferred
2023-12-20 19:14:21 : 18.json transferred
2023-12-20 19:14:22 : 44.json transferred
2023-12-20 19:14:23 : 56.json transferred
2023-12-20 19:14:24 : 19.json transferred
2023-12-20 19:14:24 : 50.json transferred
2023-12-20 19:14:25 : 05.json transferred
2023-12-20 19:14:26 : 13.json transferred
2023-12-20 19:14:27 : 03.json transferred
2023-12-20 19:14:28 : 11.json transferred
2023-12-20 19:14:29 : 22.json transferred
2023-12-20 19:14:30 : 59.json transferred
2023-12-20 19:14:31 : 16.json transferred
2023-12-20 19:14:31 : 12.json transferred
2023-12-20 19:14:32 : 14.json transferred
2023-12-20 19:14:33 : 33.json transferred
2023-12-20 19:14:34 : 39.json transferred
2023-12-20 19:14:35 : 08.json transferred
2023-12-20 19:14:36 : 41.json transferred
2023-12-20 19:14:37 : 04.json transferred
2023-12-20 19:14:38 : 58.json transferred
2023-12-20 19:14:39 : 45.json transferred
2023-12-20 19:14:39 : 31.json transferred
